	relu_coeff	time_cost
4087	173056.0	2431.0
4088	36864.0	159.0
4089	1024.0	11.0
4090	197136.0	741.0
4091	200704.0	666.0
4092	50176.0	176.0
4093	25088.0	94.0
4094	802816.0	4881.0
4095	5408.0	30.0
4096	86528.0	290.0
4097	86528.0	340.0
4098	173056.0	2487.0
4099	36864.0	123.0
4100	1024.0	10.0
4101	197136.0	777.0
4102	200704.0	670.0
4103	50176.0	179.0
4104	25088.0	100.0
4105	802816.0	4983.0
4106	5408.0	20.0
4107	86528.0	368.0
4108	86528.0	291.0
4109	173056.0	2409.0
4110	36864.0	123.0
4111	1024.0	6.0
4112	197136.0	728.0
4113	200704.0	708.0
4114	50176.0	167.0
4115	25088.0	97.0
4116	802816.0	5099.0
4117	5408.0	29.0
4118	86528.0	338.0
4119	86528.0	311.0
4120	173056.0	2525.0
4121	36864.0	141.0
4122	1024.0	8.0
4123	197136.0	718.0
4124	200704.0	631.0
4125	50176.0	169.0
4126	25088.0	96.0
4127	802816.0	5002.0
4128	5408.0	47.0
4129	86528.0	378.0
4130	86528.0	291.0
4131	173056.0	2324.0
4132	36864.0	119.0
4133	1024.0	12.0
4134	197136.0	744.0
4135	200704.0	653.0
4136	50176.0	166.0
4137	25088.0	90.0
4138	802816.0	4939.0
4139	5408.0	28.0
4140	86528.0	311.0
4141	86528.0	321.0
4142	173056.0	2325.0
4143	36864.0	127.0
4144	1024.0	7.0
4145	197136.0	645.0
4146	200704.0	651.0
4147	50176.0	173.0
4148	25088.0	99.0
4149	802816.0	5135.0
4150	5408.0	28.0
4151	86528.0	282.0
4152	86528.0	268.0
4153	173056.0	2413.0
4154	36864.0	130.0
4155	1024.0	7.0
4156	197136.0	668.0
4157	200704.0	618.0
4158	50176.0	176.0
4159	25088.0	108.0
4160	802816.0	5021.0
4161	5408.0	30.0
4162	86528.0	298.0
4163	86528.0	348.0
4164	173056.0	2408.0
4165	36864.0	129.0
4166	1024.0	6.0
4167	197136.0	718.0
4168	200704.0	654.0
4169	50176.0	167.0
4170	25088.0	90.0
4171	802816.0	4887.0
4172	5408.0	26.0
4173	86528.0	286.0
4174	86528.0	310.0
4175	173056.0	2373.0
4176	36864.0	120.0
4177	1024.0	9.0
4178	197136.0	713.0
4179	200704.0	760.0
4180	50176.0	171.0
4181	25088.0	112.0
4182	802816.0	4983.0
4183	5408.0	29.0
4184	86528.0	275.0
4185	86528.0	319.0
4186	173056.0	2374.0
4187	36864.0	139.0
4188	1024.0	10.0
4189	197136.0	698.0
4190	200704.0	715.0
4191	50176.0	179.0
4192	25088.0	115.0
4193	802816.0	4904.0
4194	5408.0	25.0
4195	86528.0	322.0
4196	86528.0	302.0
4197	173056.0	2404.0
4198	36864.0	146.0
4199	1024.0	14.0
4200	802816.0	5171.0
4201	200704.0	668.0
4202	44944.0	170.0
4203	282752.0	922.0
4204	73728.0	267.0
4205	18432.0	67.0
4206	4608.0	23.0
4207	9216.0	52.0
4208	147456.0	2897.0
4209	2304.0	14.0
4210	1024.0	9.0
4211	802816.0	5294.0
4212	200704.0	688.0
4213	44944.0	197.0
4214	282752.0	911.0
4215	73728.0	248.0
4216	18432.0	64.0
4217	4608.0	26.0
4218	9216.0	44.0
4219	147456.0	2869.0
4220	2304.0	14.0
4221	1024.0	14.0
4222	802816.0	5287.0
4223	200704.0	626.0
4224	44944.0	153.0
4225	282752.0	973.0
4226	73728.0	255.0
4227	18432.0	72.0
4228	4608.0	28.0
4229	9216.0	44.0
4230	147456.0	2877.0
4231	2304.0	17.0
4232	1024.0	13.0
4233	802816.0	5111.0
4234	200704.0	648.0
4235	44944.0	183.0
4236	282752.0	1020.0
4237	73728.0	274.0
4238	18432.0	82.0
4239	4608.0	29.0
4240	9216.0	44.0
4241	147456.0	2958.0
4242	2304.0	14.0
4243	1024.0	7.0
4244	802816.0	5371.0
4245	200704.0	676.0
4246	44944.0	173.0
4247	282752.0	899.0
4248	73728.0	250.0
4249	18432.0	69.0
4250	4608.0	24.0
4251	9216.0	49.0
4252	147456.0	2919.0
4253	2304.0	16.0
4254	1024.0	12.0
4255	802816.0	5367.0
4256	200704.0	666.0
4257	44944.0	166.0
4258	282752.0	914.0
4259	73728.0	239.0
4260	18432.0	72.0
4261	4608.0	26.0
4262	9216.0	46.0
4263	147456.0	2959.0
4264	2304.0	17.0
4265	1024.0	5.0
4266	802816.0	5109.0
4267	200704.0	713.0
4268	44944.0	168.0
4269	282752.0	900.0
4270	73728.0	234.0
4271	18432.0	78.0
4272	4608.0	34.0
4273	9216.0	47.0
4274	147456.0	2827.0
4275	2304.0	15.0
4276	1024.0	11.0
4277	802816.0	5155.0
4278	200704.0	641.0
4279	44944.0	149.0
4280	282752.0	869.0
4281	73728.0	261.0
4282	18432.0	65.0
4283	4608.0	28.0
4284	9216.0	38.0
4285	147456.0	2946.0
4286	2304.0	14.0
4287	1024.0	13.0
4288	802816.0	5496.0
4289	200704.0	658.0
4290	44944.0	186.0
4291	282752.0	888.0
4292	73728.0	251.0
4293	18432.0	89.0
4294	4608.0	27.0
4295	9216.0	40.0
4296	147456.0	2852.0
4297	2304.0	15.0
4298	1024.0	13.0
4299	802816.0	4926.0
4300	200704.0	654.0
4301	44944.0	178.0
4302	282752.0	896.0
4303	73728.0	255.0
4304	18432.0	74.0
4305	4608.0	22.0
4306	9216.0	50.0
4307	147456.0	2936.0
4308	2304.0	13.0
4309	1024.0	17.0
4310	802816.0	5114.0
4311	200704.0	658.0
4312	44944.0	153.0
4313	282752.0	914.0
4314	73728.0	288.0
4315	18432.0	64.0
4316	4608.0	29.0
4317	9216.0	58.0
4318	147456.0	2849.0
4319	2304.0	11.0
4320	1024.0	8.0
4321	802816.0	5083.0
4322	200704.0	651.0
4323	44944.0	172.0
4324	282752.0	874.0
4325	73728.0	254.0
4326	18432.0	63.0
4327	4608.0	28.0
4328	9216.0	42.0
4329	147456.0	2956.0
4330	2304.0	14.0
4331	1024.0	12.0
4332	802816.0	5136.0
4333	200704.0	664.0
4334	44944.0	186.0
4335	282752.0	952.0
4336	73728.0	232.0
4337	18432.0	70.0
4338	4608.0	24.0
4339	9216.0	39.0
4340	147456.0	2873.0
4341	2304.0	12.0
4342	1024.0	8.0
4343	802816.0	5167.0
4344	200704.0	690.0
4345	44944.0	187.0
4346	282752.0	929.0
4347	73728.0	295.0
4348	18432.0	76.0
4349	4608.0	23.0
4350	9216.0	40.0
4351	147456.0	2843.0
4352	2304.0	16.0
4353	1024.0	10.0
4354	802816.0	5046.0
4355	200704.0	686.0
4356	44944.0	167.0
4357	282752.0	923.0
4358	73728.0	245.0
4359	18432.0	75.0
4360	4608.0	28.0
4361	9216.0	53.0
4362	147456.0	2879.0
4363	2304.0	13.0
4364	1024.0	7.0
4365	200704.0	771.0
4366	401408.0	1334.0
4367	96800.0	340.0
4368	200704.0	3093.0
4369	18432.0	70.0
4370	61952.0	208.0
4371	3872.0	19.0
4372	7744.0	52.0
4373	18432.0	77.0
4374	9216.0	59.0
4375	1024.0	9.0
4376	200704.0	731.0
4377	401408.0	1277.0
4378	96800.0	345.0
4379	200704.0	3059.0
4380	18432.0	73.0
4381	61952.0	236.0
4382	3872.0	17.0
4383	7744.0	34.0
4384	18432.0	80.0
4385	9216.0	48.0
4386	1024.0	5.0
4387	200704.0	652.0
4388	401408.0	1327.0
4389	96800.0	359.0
4390	200704.0	3040.0
4391	18432.0	59.0
4392	61952.0	204.0
4393	3872.0	16.0
4394	7744.0	37.0
4395	18432.0	75.0
4396	9216.0	48.0
4397	1024.0	9.0
4398	200704.0	702.0
4399	401408.0	1380.0
4400	96800.0	326.0
4401	200704.0	3175.0
4402	18432.0	72.0
4403	61952.0	249.0
4404	3872.0	17.0
4405	7744.0	46.0
4406	18432.0	91.0
4407	9216.0	51.0
4408	1024.0	9.0
4409	200704.0	724.0
4410	401408.0	1390.0
4411	96800.0	316.0
4412	200704.0	3079.0
4413	18432.0	67.0
4414	61952.0	220.0
4415	3872.0	26.0
4416	7744.0	40.0
4417	18432.0	76.0
4418	9216.0	48.0
4419	1024.0	9.0
4420	200704.0	756.0
4421	401408.0	1328.0
4422	96800.0	336.0
4423	200704.0	3109.0
4424	18432.0	71.0
4425	61952.0	218.0
4426	3872.0	18.0
4427	7744.0	46.0
4428	18432.0	74.0
4429	9216.0	62.0
4430	1024.0	8.0
4431	200704.0	678.0
4432	401408.0	1265.0
4433	96800.0	321.0
4434	200704.0	3182.0
4435	18432.0	67.0
4436	61952.0	239.0
4437	3872.0	22.0
4438	7744.0	37.0
4439	18432.0	91.0
4440	9216.0	49.0
4441	1024.0	7.0
4442	200704.0	726.0
4443	401408.0	1314.0
4444	96800.0	344.0
4445	200704.0	3165.0
4446	18432.0	67.0
4447	61952.0	266.0
4448	3872.0	15.0
4449	7744.0	39.0
4450	18432.0	68.0
4451	9216.0	44.0
4452	1024.0	6.0
4453	200704.0	669.0
4454	401408.0	1300.0
4455	96800.0	344.0
4456	200704.0	3054.0
4457	18432.0	65.0
4458	61952.0	220.0
4459	3872.0	18.0
4460	7744.0	39.0
4461	18432.0	80.0
4462	9216.0	61.0
4463	1024.0	7.0
4464	200704.0	710.0
4465	401408.0	1401.0
4466	96800.0	341.0
4467	200704.0	3150.0
4468	18432.0	65.0
4469	61952.0	210.0
4470	3872.0	18.0
4471	7744.0	35.0
4472	18432.0	98.0
4473	9216.0	51.0
4474	1024.0	6.0
4475	200704.0	719.0
4476	401408.0	1345.0
4477	96800.0	348.0
4478	200704.0	3112.0
4479	18432.0	65.0
4480	61952.0	220.0
4481	3872.0	21.0
4482	7744.0	44.0
4483	18432.0	63.0
4484	9216.0	50.0
4485	1024.0	4.0
4486	200704.0	691.0
4487	401408.0	1326.0
4488	96800.0	336.0
4489	200704.0	3062.0
4490	18432.0	79.0
4491	61952.0	225.0
4492	3872.0	15.0
4493	7744.0	58.0
4494	18432.0	81.0
4495	9216.0	42.0
4496	1024.0	6.0
4497	200704.0	682.0
4498	401408.0	1284.0
4499	96800.0	325.0
4500	200704.0	3179.0
4501	18432.0	71.0
4502	61952.0	257.0
4503	3872.0	17.0
4504	7744.0	40.0
4505	18432.0	76.0
4506	9216.0	42.0
4507	1024.0	6.0
4508	200704.0	651.0
4509	401408.0	1293.0
4510	96800.0	408.0
4511	200704.0	3091.0
4512	18432.0	73.0
4513	61952.0	229.0
4514	3872.0	17.0
4515	7744.0	49.0
4516	18432.0	76.0
4517	9216.0	36.0
4518	1024.0	10.0
4519	200704.0	706.0
4520	401408.0	1323.0
4521	96800.0	300.0
4522	200704.0	3152.0
4523	18432.0	69.0
4524	61952.0	202.0
4525	3872.0	14.0
4526	7744.0	38.0
4527	18432.0	74.0
4528	9216.0	48.0
4529	1024.0	6.0
4530	37632.0	152.0
4531	37632.0	135.0
4532	2187.0	8.0
4533	1024.0	12.0
4534	37632.0	119.0
4535	37632.0	114.0
4536	2187.0	10.0
4537	1024.0	8.0
4538	37632.0	163.0
4539	37632.0	143.0
4540	2187.0	11.0
4541	1024.0	14.0
4542	37632.0	130.0
4543	37632.0	120.0
4544	2187.0	10.0
4545	1024.0	9.0
4546	37632.0	168.0
4547	37632.0	171.0
4548	2187.0	9.0
4549	1024.0	10.0
4550	37632.0	117.0
4551	37632.0	122.0
4552	2187.0	6.0
4553	1024.0	12.0
4554	37632.0	150.0
4555	37632.0	129.0
4556	2187.0	9.0
4557	1024.0	10.0
4558	37632.0	175.0
4559	37632.0	131.0
4560	2187.0	11.0
4561	1024.0	11.0
4562	37632.0	117.0
4563	37632.0	120.0
4564	2187.0	9.0
4565	1024.0	8.0
4566	37632.0	126.0
4567	37632.0	129.0
