	avgpool_N	avgpool_H	avgpool_W	avgpool_C	avgpool_ksizeH	avgpool_ksizeW	avgpool_zPadHLeft	avgpool_zPadHRight	avgpool_zPadWLeft	avgpool_zPadWRight	avgpool_strideH	avgpool_strideW	avgpool_N1	avgpool_imgH	avgpool_imgW	avgpool_C1	time_cost
52	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	224.0
53	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	207.0
54	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	206.0
55	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	200.0
56	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	197.0
57	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	219.0
58	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	222.0
59	1.0	1.0	1.0	1000.0	13.0	13.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	13.0	13.0	1000.0	211.0
60	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2273.0
61	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1681.0
62	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	841.0
63	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	711.0
64	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	663.0
65	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	694.0
66	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	709.0
67	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	278.0
68	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	145.0
69	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	113.0
70	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2424.0
71	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1599.0
72	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	781.0
73	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	701.0
74	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	742.0
75	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	702.0
76	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	637.0
77	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	302.0
78	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	165.0
79	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	115.0
80	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2434.0
81	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1445.0
82	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	784.0
83	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	680.0
84	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	710.0
85	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	670.0
86	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	677.0
87	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	314.0
88	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	164.0
89	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	116.0
90	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2318.0
91	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1682.0
92	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	836.0
93	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	734.0
94	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	702.0
95	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	687.0
96	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	682.0
97	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	328.0
98	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	173.0
99	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	117.0
100	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2366.0
101	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1634.0
102	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	803.0
103	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	743.0
104	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	727.0
105	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	697.0
106	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	671.0
107	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	288.0
108	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	158.0
109	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	115.0
110	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2468.0
111	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1620.0
112	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	769.0
113	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	722.0
114	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	711.0
115	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	703.0
116	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	574.0
117	1.0	55.0	55.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	112.0	112.0	3.0	301.0
118	1.0	27.0	27.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	55.0	55.0	3.0	171.0
119	1.0	14.0	14.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	27.0	27.0	3.0	117.0
120	1.0	224.0	224.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	224.0	224.0	3.0	2634.0
121	1.0	112.0	112.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	224.0	224.0	3.0	1481.0
122	1.0	112.0	112.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	855.0
123	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	623.0
124	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	739.0
125	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	735.0
126	1.0	112.0	112.0	3.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	112.0	112.0	3.0	700.0
