	BN2_C	BN2_H	BN2_W	time_cost
647	160.0	56.0	56.0	2819.0
648	192.0	56.0	56.0	3396.0
649	224.0	56.0	56.0	4065.0
650	256.0	56.0	56.0	4552.0
651	128.0	28.0	28.0	569.0
652	160.0	28.0	28.0	728.0
653	192.0	28.0	28.0	807.0
654	224.0	28.0	28.0	1098.0
655	128.0	28.0	28.0	580.0
656	256.0	28.0	28.0	1027.0
657	288.0	28.0	28.0	1317.0
658	320.0	28.0	28.0	1336.0
659	352.0	28.0	28.0	1504.0
660	384.0	28.0	28.0	1645.0
661	416.0	28.0	28.0	1824.0
662	448.0	28.0	28.0	1871.0
663	480.0	28.0	28.0	2041.0
664	512.0	28.0	28.0	2263.0
665	256.0	14.0	14.0	303.0
666	288.0	14.0	14.0	313.0
667	320.0	14.0	14.0	341.0
668	352.0	14.0	14.0	419.0
669	384.0	14.0	14.0	445.0
670	416.0	14.0	14.0	463.0
671	448.0	14.0	14.0	509.0
672	480.0	14.0	14.0	541.0
673	512.0	14.0	14.0	576.0
674	544.0	14.0	14.0	589.0
675	576.0	14.0	14.0	585.0
676	608.0	14.0	14.0	653.0
677	640.0	14.0	14.0	719.0
678	672.0	14.0	14.0	728.0
679	704.0	14.0	14.0	690.0
680	736.0	14.0	14.0	815.0
681	768.0	14.0	14.0	925.0
682	800.0	14.0	14.0	869.0
683	832.0	14.0	14.0	846.0
684	864.0	14.0	14.0	956.0
685	896.0	14.0	14.0	996.0
686	928.0	14.0	14.0	997.0
687	960.0	14.0	14.0	1006.0
688	992.0	14.0	14.0	1081.0
689	1024.0	14.0	14.0	1089.0
690	512.0	7.0	7.0	181.0
691	544.0	7.0	7.0	190.0
692	576.0	7.0	7.0	185.0
693	608.0	7.0	7.0	199.0
694	640.0	7.0	7.0	230.0
695	672.0	7.0	7.0	224.0
696	704.0	7.0	7.0	225.0
697	736.0	7.0	7.0	217.0
698	768.0	7.0	7.0	249.0
699	800.0	7.0	7.0	246.0
700	832.0	7.0	7.0	240.0
701	864.0	7.0	7.0	246.0
702	896.0	7.0	7.0	253.0
703	928.0	7.0	7.0	271.0
704	960.0	7.0	7.0	278.0
705	992.0	7.0	7.0	281.0
706	7.0	7.0	1024.0	325.0
707	64.0	56.0	56.0	1115.0
708	96.0	56.0	56.0	1721.0
709	128.0	56.0	56.0	2243.0
710	160.0	56.0	56.0	2870.0
711	192.0	56.0	56.0	3301.0
712	224.0	56.0	56.0	4035.0
713	256.0	56.0	56.0	4533.0
714	128.0	28.0	28.0	589.0
715	160.0	28.0	28.0	687.0
716	192.0	28.0	28.0	877.0
717	224.0	28.0	28.0	1028.0
718	128.0	28.0	28.0	575.0
719	256.0	28.0	28.0	1158.0
720	288.0	28.0	28.0	1296.0
721	320.0	28.0	28.0	1371.0
722	352.0	28.0	28.0	1483.0
723	384.0	28.0	28.0	1603.0
724	416.0	28.0	28.0	1917.0
725	448.0	28.0	28.0	1896.0
726	480.0	28.0	28.0	2095.0
727	512.0	28.0	28.0	2246.0
728	256.0	14.0	14.0	300.0
729	288.0	14.0	14.0	306.0
730	320.0	14.0	14.0	356.0
731	352.0	14.0	14.0	414.0
732	384.0	14.0	14.0	387.0
733	416.0	14.0	14.0	404.0
734	448.0	14.0	14.0	487.0
735	480.0	14.0	14.0	550.0
736	512.0	14.0	14.0	547.0
737	544.0	14.0	14.0	584.0
738	576.0	14.0	14.0	606.0
739	608.0	14.0	14.0	671.0
740	640.0	14.0	14.0	732.0
741	672.0	14.0	14.0	770.0
742	704.0	14.0	14.0	779.0
743	736.0	14.0	14.0	814.0
744	768.0	14.0	14.0	862.0
745	800.0	14.0	14.0	966.0
746	832.0	14.0	14.0	943.0
747	864.0	14.0	14.0	950.0
748	896.0	14.0	14.0	1041.0
749	928.0	14.0	14.0	1027.0
750	960.0	14.0	14.0	1037.0
751	992.0	14.0	14.0	1068.0
752	1024.0	14.0	14.0	1090.0
753	512.0	7.0	7.0	186.0
754	544.0	7.0	7.0	168.0
755	576.0	7.0	7.0	187.0
756	608.0	7.0	7.0	206.0
757	640.0	7.0	7.0	227.0
758	672.0	7.0	7.0	223.0
759	704.0	7.0	7.0	216.0
760	736.0	7.0	7.0	228.0
761	768.0	7.0	7.0	237.0
762	800.0	7.0	7.0	251.0
763	832.0	7.0	7.0	247.0
764	864.0	7.0	7.0	259.0
765	896.0	7.0	7.0	263.0
766	928.0	7.0	7.0	275.0
767	960.0	7.0	7.0	287.0
768	992.0	7.0	7.0	276.0
769	7.0	7.0	1024.0	309.0
