	FC_N	FC_CI	FC_CO	time_cost
142	1.0	4608.0	1024.0	799.0
143	1.0	1024.0	10.0	58.0
144	1.0	4608.0	1024.0	821.0
145	1.0	1024.0	10.0	48.0
146	1.0	4608.0	1024.0	773.0
147	1.0	1024.0	10.0	50.0
148	1.0	4608.0	1024.0	783.0
149	1.0	1024.0	10.0	46.0
150	1.0	40000.0	1024.0	5276.0
151	1.0	1024.0	10.0	57.0
152	1.0	40000.0	1024.0	5272.0
153	1.0	1024.0	10.0	47.0
154	1.0	40000.0	1024.0	5200.0
155	1.0	1024.0	10.0	57.0
156	1.0	40000.0	1024.0	5294.0
157	1.0	1024.0	10.0	57.0
158	1.0	40000.0	1024.0	5164.0
159	1.0	1024.0	10.0	55.0
160	1.0	40000.0	1024.0	5173.0
161	1.0	1024.0	10.0	48.0
162	1.0	40000.0	1024.0	5293.0
163	1.0	1024.0	10.0	48.0
164	1.0	40000.0	1024.0	5163.0
165	1.0	1024.0	10.0	56.0
166	1.0	40000.0	1024.0	5249.0
167	1.0	1024.0	10.0	46.0
168	1.0	40000.0	1024.0	5233.0
169	1.0	1024.0	10.0	57.0
170	1.0	36864.0	1024.0	8161.0
171	1.0	1024.0	10.0	68.0
172	1.0	36864.0	1024.0	7785.0
173	1.0	1024.0	10.0	57.0
174	1.0	36864.0	1024.0	7386.0
175	1.0	1024.0	10.0	58.0
176	1.0	36864.0	1024.0	7413.0
177	1.0	1024.0	10.0	70.0
178	1.0	36864.0	1024.0	7354.0
179	1.0	1024.0	10.0	56.0
180	1.0	36864.0	1024.0	7410.0
181	1.0	1024.0	10.0	67.0
182	1.0	36864.0	1024.0	7830.0
183	1.0	1024.0	10.0	56.0
184	1.0	36864.0	1024.0	7917.0
185	1.0	1024.0	10.0	58.0
186	1.0	36864.0	1024.0	7404.0
187	1.0	1024.0	10.0	67.0
188	1.0	36864.0	1024.0	7841.0
189	1.0	1024.0	10.0	67.0
190	1.0	2304.0	1024.0	482.0
191	1.0	1024.0	10.0	48.0
192	1.0	2304.0	1024.0	452.0
193	1.0	1024.0	10.0	35.0
194	1.0	2304.0	1024.0	442.0
195	1.0	1024.0	10.0	36.0
196	1.0	2304.0	1024.0	470.0
197	1.0	1024.0	10.0	55.0
198	1.0	2304.0	1024.0	451.0
199	1.0	1024.0	10.0	35.0
200	1.0	2304.0	1024.0	454.0
201	1.0	1024.0	10.0	35.0
202	1.0	2304.0	1024.0	462.0
203	1.0	1024.0	10.0	35.0
204	1.0	2304.0	1024.0	453.0
205	1.0	1024.0	10.0	48.0
206	1.0	2304.0	1024.0	457.0
207	1.0	1024.0	10.0	48.0
208	1.0	2304.0	1024.0	442.0
209	1.0	1024.0	10.0	35.0
210	1.0	9216.0	1024.0	1481.0
211	1.0	1024.0	10.0	58.0
212	1.0	9216.0	1024.0	1616.0
213	1.0	1024.0	10.0	58.0
214	1.0	9216.0	1024.0	1593.0
215	1.0	1024.0	10.0	55.0
216	1.0	9216.0	1024.0	1517.0
217	1.0	1024.0	10.0	42.0
218	1.0	9216.0	1024.0	1472.0
219	1.0	1024.0	10.0	47.0
220	1.0	9216.0	1024.0	1533.0
221	1.0	1024.0	10.0	56.0
222	1.0	9216.0	1024.0	1654.0
223	1.0	1024.0	10.0	56.0
224	1.0	9216.0	1024.0	1542.0
225	1.0	1024.0	10.0	41.0
226	1.0	9216.0	1024.0	1552.0
227	1.0	1024.0	10.0	55.0
228	1.0	9216.0	1024.0	1554.0
229	1.0	1024.0	10.0	67.0
230	1.0	588.0	1024.0	191.0
231	1.0	1024.0	10.0	37.0
232	1.0	588.0	1024.0	192.0
233	1.0	1024.0	10.0	34.0
234	1.0	588.0	1024.0	191.0
235	1.0	1024.0	10.0	37.0
236	1.0	588.0	1024.0	201.0
237	1.0	1024.0	10.0	36.0
238	1.0	588.0	1024.0	187.0
239	1.0	1024.0	10.0	34.0
240	1.0	588.0	1024.0	193.0
241	1.0	1024.0	10.0	35.0
242	1.0	588.0	1024.0	188.0
243	1.0	1024.0	10.0	36.0
244	1.0	588.0	1024.0	191.0
245	1.0	1024.0	10.0	37.0
246	1.0	588.0	1024.0	187.0
247	1.0	1024.0	10.0	35.0
248	1.0	588.0	1024.0	200.0
249	1.0	1024.0	10.0	34.0
250	1.0	507.0	1024.0	167.0
251	1.0	1024.0	10.0	34.0
252	1.0	507.0	1024.0	191.0
253	1.0	1024.0	10.0	36.0
254	1.0	507.0	1024.0	197.0
255	1.0	1024.0	10.0	33.0
256	1.0	507.0	1024.0	178.0
257	1.0	1024.0	10.0	37.0
258	1.0	507.0	1024.0	181.0
259	1.0	1024.0	10.0	35.0
260	1.0	507.0	1024.0	202.0
261	1.0	1024.0	10.0	32.0
262	1.0	507.0	1024.0	187.0
263	1.0	1024.0	10.0	35.0
264	1.0	507.0	1024.0	184.0
265	1.0	1024.0	10.0	37.0
266	1.0	507.0	1024.0	167.0
267	1.0	1024.0	10.0	36.0
268	1.0	507.0	1024.0	189.0
269	1.0	1024.0	10.0	36.0
270	1.0	48.0	1024.0	58.0
271	1.0	1024.0	10.0	28.0
272	1.0	48.0	1024.0	58.0
273	1.0	1024.0	10.0	53.0
274	1.0	48.0	1024.0	58.0
275	1.0	1024.0	10.0	34.0
276	1.0	48.0	1024.0	62.0
277	1.0	1024.0	10.0	36.0
278	1.0	48.0	1024.0	57.0
279	1.0	1024.0	10.0	35.0
280	1.0	48.0	1024.0	53.0
281	1.0	1024.0	10.0	33.0
282	1.0	48.0	1024.0	57.0
283	1.0	1024.0	10.0	36.0
284	1.0	48.0	1024.0	59.0
285	1.0	1024.0	10.0	36.0
286	1.0	48.0	1024.0	58.0
287	1.0	1024.0	10.0	36.0
288	1.0	48.0	1024.0	58.0
289	1.0	1024.0	10.0	33.0
290	1.0	507.0	1024.0	190.0
291	1.0	1024.0	10.0	35.0
292	1.0	507.0	1024.0	172.0
293	1.0	1024.0	10.0	35.0
294	1.0	507.0	1024.0	181.0
295	1.0	1024.0	10.0	37.0
296	1.0	507.0	1024.0	169.0
297	1.0	1024.0	10.0	34.0
298	1.0	507.0	1024.0	177.0
299	1.0	1024.0	10.0	36.0
300	1.0	507.0	1024.0	192.0
301	1.0	1024.0	10.0	36.0
302	1.0	507.0	1024.0	182.0
303	1.0	1024.0	10.0	29.0
304	1.0	507.0	1024.0	183.0
305	1.0	1024.0	10.0	37.0
306	1.0	507.0	1024.0	153.0
307	1.0	1024.0	10.0	32.0
308	1.0	507.0	1024.0	177.0
309	1.0	1024.0	10.0	37.0
310	1.0	108.0	1024.0	85.0
311	1.0	1024.0	10.0	35.0
312	1.0	108.0	1024.0	81.0
313	1.0	1024.0	10.0	35.0
314	1.0	108.0	1024.0	86.0
315	1.0	1024.0	10.0	34.0
316	1.0	108.0	1024.0	84.0
317	1.0	1024.0	10.0	35.0
318	1.0	108.0	1024.0	88.0
319	1.0	1024.0	10.0	35.0
320	1.0	108.0	1024.0	92.0
321	1.0	1024.0	10.0	34.0
322	1.0	108.0	1024.0	87.0
323	1.0	1024.0	10.0	35.0
324	1.0	108.0	1024.0	92.0
325	1.0	1024.0	10.0	33.0
326	1.0	108.0	1024.0	83.0
327	1.0	1024.0	10.0	37.0
328	1.0	108.0	1024.0	70.0
329	1.0	1024.0	10.0	36.0
330	1.0	507.0	1024.0	181.0
331	1.0	1024.0	10.0	35.0
332	1.0	507.0	1024.0	176.0
333	1.0	1024.0	10.0	36.0
334	1.0	507.0	1024.0	183.0
335	1.0	1024.0	10.0	34.0
336	1.0	507.0	1024.0	167.0
337	1.0	1024.0	10.0	30.0
338	1.0	507.0	1024.0	186.0
339	1.0	1024.0	10.0	35.0
340	1.0	507.0	1024.0	167.0
341	1.0	1024.0	10.0	28.0
342	1.0	507.0	1024.0	161.0
343	1.0	1024.0	10.0	34.0
344	1.0	507.0	1024.0	189.0
345	1.0	1024.0	10.0	36.0
346	1.0	507.0	1024.0	180.0
347	1.0	1024.0	10.0	36.0
348	1.0	507.0	1024.0	181.0
349	1.0	1024.0	10.0	36.0
350	1.0	147.0	1024.0	97.0
351	1.0	1024.0	10.0	36.0
352	1.0	147.0	1024.0	100.0
353	1.0	1024.0	10.0	28.0
354	1.0	147.0	1024.0	98.0
355	1.0	1024.0	10.0	37.0
356	1.0	147.0	1024.0	86.0
357	1.0	1024.0	10.0	29.0
358	1.0	147.0	1024.0	100.0
359	1.0	1024.0	10.0	34.0
360	1.0	147.0	1024.0	104.0
361	1.0	1024.0	10.0	29.0
362	1.0	147.0	1024.0	95.0
363	1.0	1024.0	10.0	40.0
364	1.0	147.0	1024.0	102.0
365	1.0	1024.0	10.0	38.0
366	1.0	147.0	1024.0	107.0
367	1.0	1024.0	10.0	36.0
368	1.0	147.0	1024.0	92.0
369	1.0	1024.0	10.0	34.0
370	1.0	48.0	1024.0	61.0
371	1.0	1024.0	10.0	36.0
372	1.0	48.0	1024.0	45.0
373	1.0	1024.0	10.0	35.0
374	1.0	48.0	1024.0	58.0
375	1.0	1024.0	10.0	33.0
376	1.0	48.0	1024.0	63.0
377	1.0	1024.0	10.0	36.0
378	1.0	48.0	1024.0	54.0
379	1.0	1024.0	10.0	31.0
380	1.0	48.0	1024.0	59.0
381	1.0	1024.0	10.0	34.0
382	1.0	48.0	1024.0	60.0
383	1.0	1024.0	10.0	34.0
384	1.0	48.0	1024.0	70.0
385	1.0	1024.0	10.0	35.0
386	1.0	48.0	1024.0	58.0
387	1.0	1024.0	10.0	36.0
388	1.0	48.0	1024.0	55.0
389	1.0	1024.0	10.0	28.0
390	1.0	432.0	1024.0	165.0
391	1.0	1024.0	10.0	35.0
392	1.0	432.0	1024.0	167.0
393	1.0	1024.0	10.0	35.0
394	1.0	432.0	1024.0	170.0
395	1.0	1024.0	10.0	36.0
396	1.0	432.0	1024.0	171.0
397	1.0	1024.0	10.0	36.0
398	1.0	432.0	1024.0	163.0
399	1.0	1024.0	10.0	35.0
400	1.0	432.0	1024.0	176.0
401	1.0	1024.0	10.0	35.0
402	1.0	432.0	1024.0	173.0
403	1.0	1024.0	10.0	35.0
404	1.0	432.0	1024.0	166.0
405	1.0	1024.0	10.0	34.0
406	1.0	432.0	1024.0	181.0
407	1.0	1024.0	10.0	35.0
408	1.0	432.0	1024.0	153.0
409	1.0	1024.0	10.0	35.0
410	1.0	512.0	1024.0	179.0
411	1.0	1024.0	10.0	31.0
412	1.0	512.0	1024.0	173.0
413	1.0	1024.0	10.0	28.0
414	1.0	512.0	1024.0	174.0
415	1.0	1024.0	10.0	33.0
416	1.0	512.0	1024.0	172.0
417	1.0	1024.0	10.0	36.0
418	1.0	512.0	1024.0	177.0
419	1.0	1024.0	10.0	36.0
420	1.0	512.0	1024.0	178.0
421	1.0	1024.0	10.0	35.0
422	1.0	512.0	1024.0	186.0
423	1.0	1024.0	10.0	34.0
424	1.0	512.0	1024.0	164.0
425	1.0	1024.0	10.0	35.0
426	1.0	512.0	1024.0	186.0
427	1.0	1024.0	10.0	36.0
428	1.0	512.0	1024.0	163.0
429	1.0	1024.0	10.0	37.0
430	1.0	128.0	1024.0	94.0
431	1.0	1024.0	10.0	34.0
432	1.0	128.0	1024.0	89.0
433	1.0	1024.0	10.0	36.0
434	1.0	128.0	1024.0	73.0
435	1.0	1024.0	10.0	35.0
436	1.0	128.0	1024.0	88.0
437	1.0	1024.0	10.0	35.0
438	1.0	128.0	1024.0	90.0
439	1.0	1024.0	10.0	35.0
440	1.0	128.0	1024.0	86.0
441	1.0	1024.0	10.0	35.0
442	1.0	128.0	1024.0	95.0
443	1.0	1024.0	10.0	35.0
444	1.0	128.0	1024.0	88.0
445	1.0	1024.0	10.0	36.0
446	1.0	128.0	1024.0	88.0
447	1.0	1024.0	10.0	37.0
448	1.0	128.0	1024.0	88.0
449	1.0	1024.0	10.0	36.0
450	1.0	1600.0	1024.0	360.0
451	1.0	1024.0	10.0	34.0
452	1.0	1600.0	1024.0	348.0
453	1.0	1024.0	10.0	38.0
454	1.0	1600.0	1024.0	369.0
455	1.0	1024.0	10.0	35.0
456	1.0	1600.0	1024.0	350.0
457	1.0	1024.0	10.0	34.0
458	1.0	1600.0	1024.0	358.0
459	1.0	1024.0	10.0	34.0
460	1.0	1600.0	1024.0	337.0
461	1.0	1024.0	10.0	34.0
462	1.0	1600.0	1024.0	356.0
463	1.0	1024.0	10.0	34.0
464	1.0	1600.0	1024.0	342.0
465	1.0	1024.0	10.0	34.0
466	1.0	1600.0	1024.0	373.0
467	1.0	1024.0	10.0	34.0
468	1.0	1600.0	1024.0	359.0
469	1.0	1024.0	10.0	34.0
470	1.0	4608.0	1024.0	803.0
471	1.0	1024.0	10.0	56.0
472	1.0	4608.0	1024.0	831.0
473	1.0	1024.0	10.0	47.0
474	1.0	4608.0	1024.0	801.0
475	1.0	1024.0	10.0	47.0
476	1.0	4608.0	1024.0	839.0
477	1.0	1024.0	10.0	55.0
478	1.0	4608.0	1024.0	798.0
479	1.0	1024.0	10.0	55.0
480	1.0	4608.0	1024.0	793.0
481	1.0	1024.0	10.0	56.0
482	1.0	4608.0	1024.0	816.0
483	1.0	1024.0	10.0	48.0
484	1.0	4608.0	1024.0	797.0
485	1.0	1024.0	10.0	60.0
486	1.0	4608.0	1024.0	792.0
487	1.0	1024.0	10.0	47.0
488	1.0	4608.0	1024.0	834.0
489	1.0	1024.0	10.0	47.0
490	1.0	128.0	1024.0	76.0
491	1.0	1024.0	10.0	34.0
492	1.0	128.0	1024.0	90.0
493	1.0	1024.0	10.0	33.0
494	1.0	128.0	1024.0	87.0
495	1.0	1024.0	10.0	35.0
496	1.0	128.0	1024.0	70.0
497	1.0	1024.0	10.0	35.0
498	1.0	128.0	1024.0	84.0
499	1.0	1024.0	10.0	37.0
500	1.0	128.0	1024.0	86.0
501	1.0	1024.0	10.0	36.0
502	1.0	128.0	1024.0	87.0
503	1.0	1024.0	10.0	34.0
504	1.0	128.0	1024.0	71.0
505	1.0	1024.0	10.0	37.0
506	1.0	128.0	1024.0	84.0
507	1.0	1024.0	10.0	35.0
508	1.0	128.0	1024.0	85.0
509	1.0	1024.0	10.0	36.0
510	1.0	288.0	1024.0	129.0
511	1.0	1024.0	10.0	33.0
512	1.0	288.0	1024.0	107.0
513	1.0	1024.0	10.0	34.0
514	1.0	288.0	1024.0	134.0
515	1.0	1024.0	10.0	34.0
516	1.0	288.0	1024.0	111.0
517	1.0	1024.0	10.0	33.0
518	1.0	288.0	1024.0	133.0
519	1.0	1024.0	10.0	36.0
520	1.0	288.0	1024.0	129.0
521	1.0	1024.0	10.0	33.0
522	1.0	288.0	1024.0	122.0
523	1.0	1024.0	10.0	36.0
524	1.0	288.0	1024.0	133.0
525	1.0	1024.0	10.0	36.0
526	1.0	288.0	1024.0	138.0
527	1.0	1024.0	10.0	42.0
528	1.0	288.0	1024.0	136.0
529	1.0	1024.0	10.0	28.0
530	1.0	1152.0	1024.0	290.0
531	1.0	1024.0	10.0	34.0
532	1.0	1152.0	1024.0	287.0
533	1.0	1024.0	10.0	34.0
534	1.0	1152.0	1024.0	282.0
535	1.0	1024.0	10.0	36.0
536	1.0	1152.0	1024.0	286.0
537	1.0	1024.0	10.0	30.0
538	1.0	1152.0	1024.0	281.0
539	1.0	1024.0	10.0	35.0
540	1.0	1152.0	1024.0	280.0
541	1.0	1024.0	10.0	27.0
542	1.0	1152.0	1024.0	289.0
543	1.0	1024.0	10.0	27.0
544	1.0	1152.0	1024.0	286.0
545	1.0	1024.0	10.0	35.0
546	1.0	1152.0	1024.0	286.0
547	1.0	1024.0	10.0	37.0
548	1.0	1152.0	1024.0	303.0
549	1.0	1024.0	10.0	33.0
550	1.0	576.0	1024.0	213.0
551	1.0	1024.0	10.0	41.0
552	1.0	576.0	1024.0	184.0
553	1.0	1024.0	10.0	35.0
554	1.0	576.0	1024.0	172.0
555	1.0	1024.0	10.0	43.0
556	1.0	576.0	1024.0	186.0
557	1.0	1024.0	10.0	33.0
558	1.0	576.0	1024.0	188.0
559	1.0	1024.0	10.0	47.0
560	1.0	576.0	1024.0	174.0
561	1.0	1024.0	10.0	37.0
562	1.0	576.0	1024.0	178.0
563	1.0	1024.0	10.0	34.0
564	1.0	576.0	1024.0	184.0
565	1.0	1024.0	10.0	36.0
566	1.0	576.0	1024.0	190.0
567	1.0	1024.0	10.0	45.0
568	1.0	576.0	1024.0	187.0
569	1.0	1024.0	10.0	47.0
570	1.0	16384.0	1024.0	3612.0
571	1.0	1024.0	10.0	63.0
572	1.0	16384.0	1024.0	3552.0
573	1.0	1024.0	10.0	63.0
574	1.0	16384.0	1024.0	3764.0
575	1.0	1024.0	10.0	58.0
576	1.0	16384.0	1024.0	4416.0
577	1.0	1024.0	10.0	67.0
578	1.0	16384.0	1024.0	4733.0
579	1.0	1024.0	10.0	54.0
580	1.0	16384.0	1024.0	4226.0
581	1.0	1024.0	10.0	55.0
582	1.0	16384.0	1024.0	4539.0
583	1.0	1024.0	10.0	56.0
584	1.0	16384.0	1024.0	3827.0
585	1.0	1024.0	10.0	66.0
586	1.0	16384.0	1024.0	3884.0
587	1.0	1024.0	10.0	59.0
588	1.0	16384.0	1024.0	3789.0
589	1.0	1024.0	10.0	62.0
590	1.0	128.0	1024.0	103.0
591	1.0	1024.0	10.0	34.0
592	1.0	128.0	1024.0	108.0
593	1.0	1024.0	10.0	34.0
594	1.0	128.0	1024.0	104.0
595	1.0	1024.0	10.0	37.0
596	1.0	128.0	1024.0	106.0
597	1.0	1024.0	10.0	37.0
598	1.0	128.0	1024.0	103.0
599	1.0	1024.0	10.0	36.0
600	1.0	128.0	1024.0	102.0
601	1.0	1024.0	10.0	36.0
602	1.0	128.0	1024.0	112.0
603	1.0	1024.0	10.0	35.0
604	1.0	128.0	1024.0	108.0
605	1.0	1024.0	10.0	36.0
606	1.0	128.0	1024.0	95.0
607	1.0	1024.0	10.0	33.0
608	1.0	128.0	1024.0	107.0
609	1.0	1024.0	10.0	34.0
610	1.0	1152.0	1024.0	302.0
611	1.0	1024.0	10.0	34.0
612	1.0	1152.0	1024.0	309.0
613	1.0	1024.0	10.0	33.0
614	1.0	1152.0	1024.0	305.0
615	1.0	1024.0	10.0	26.0
616	1.0	1152.0	1024.0	318.0
617	1.0	1024.0	10.0	27.0
618	1.0	1152.0	1024.0	299.0
619	1.0	1024.0	10.0	37.0
620	1.0	1152.0	1024.0	306.0
621	1.0	1024.0	10.0	35.0
622	1.0	1152.0	1024.0	306.0
623	1.0	1024.0	10.0	42.0
624	1.0	1152.0	1024.0	307.0
625	1.0	1024.0	10.0	32.0
626	1.0	1152.0	1024.0	300.0
627	1.0	1024.0	10.0	35.0
628	1.0	1152.0	1024.0	295.0
629	1.0	1024.0	10.0	35.0
630	1.0	1152.0	1024.0	320.0
631	1.0	1024.0	10.0	29.0
632	1.0	1152.0	1024.0	326.0
633	1.0	1024.0	10.0	36.0
634	1.0	1152.0	1024.0	313.0
635	1.0	1024.0	10.0	31.0
636	1.0	1152.0	1024.0	315.0
637	1.0	1024.0	10.0	37.0
638	1.0	1152.0	1024.0	316.0
639	1.0	1024.0	10.0	31.0
640	1.0	1152.0	1024.0	314.0
641	1.0	1024.0	10.0	34.0
642	1.0	1152.0	1024.0	337.0
643	1.0	1024.0	10.0	34.0
644	1.0	1152.0	1024.0	316.0
645	1.0	1024.0	10.0	36.0
646	1.0	1152.0	1024.0	316.0
647	1.0	1024.0	10.0	34.0
648	1.0	1152.0	1024.0	298.0
649	1.0	1024.0	10.0	38.0
650	1.0	1024.0	1024.0	288.0
651	1.0	1024.0	10.0	32.0
652	1.0	1024.0	1024.0	294.0
653	1.0	1024.0	10.0	36.0
654	1.0	1024.0	1024.0	304.0
655	1.0	1024.0	10.0	44.0
656	1.0	1024.0	1024.0	296.0
657	1.0	1024.0	10.0	36.0
658	1.0	1024.0	1024.0	286.0
659	1.0	1024.0	10.0	35.0
660	1.0	1024.0	1024.0	300.0
661	1.0	1024.0	10.0	34.0
662	1.0	1024.0	1024.0	275.0
663	1.0	1024.0	10.0	33.0
664	1.0	1024.0	1024.0	284.0
665	1.0	1024.0	10.0	33.0
666	1.0	1024.0	1024.0	289.0
667	1.0	1024.0	10.0	34.0
668	1.0	1024.0	1024.0	303.0
669	1.0	1024.0	10.0	36.0
670	1.0	25088.0	1024.0	3593.0
671	1.0	1024.0	10.0	64.0
672	1.0	25088.0	1024.0	3408.0
673	1.0	1024.0	10.0	66.0
674	1.0	25088.0	1024.0	3607.0
675	1.0	1024.0	10.0	59.0
676	1.0	25088.0	1024.0	3564.0
677	1.0	1024.0	10.0	62.0
678	1.0	25088.0	1024.0	3647.0
679	1.0	1024.0	10.0	68.0
680	1.0	25088.0	1024.0	3523.0
681	1.0	1024.0	10.0	54.0
682	1.0	25088.0	1024.0	3647.0
683	1.0	1024.0	10.0	42.0
684	1.0	25088.0	1024.0	3602.0
685	1.0	1024.0	10.0	62.0
686	1.0	25088.0	1024.0	3605.0
687	1.0	1024.0	10.0	53.0
688	1.0	25088.0	1024.0	3601.0
689	1.0	1024.0	10.0	65.0
690	1.0	3.0	1024.0	24.0
691	1.0	1024.0	10.0	30.0
692	1.0	3.0	1024.0	27.0
693	1.0	1024.0	10.0	39.0
694	1.0	3.0	1024.0	28.0
695	1.0	1024.0	10.0	39.0
696	1.0	3.0	1024.0	29.0
697	1.0	1024.0	10.0	40.0
698	1.0	3.0	1024.0	29.0
699	1.0	1024.0	10.0	39.0
700	1.0	3.0	1024.0	29.0
701	1.0	1024.0	10.0	38.0
702	1.0	3.0	1024.0	29.0
703	1.0	1024.0	10.0	36.0
704	1.0	3.0	1024.0	30.0
705	1.0	1024.0	10.0	38.0
706	1.0	3.0	1024.0	29.0
707	1.0	1024.0	10.0	39.0
708	1.0	3.0	1024.0	29.0
709	1.0	1024.0	10.0	35.0
710	1.0	4.0	1338.0	36.0
711	1.0	1338.0	10.0	41.0
712	1.0	4.0	1338.0	31.0
713	1.0	1338.0	10.0	33.0
714	1.0	4.0	1338.0	32.0
715	1.0	1338.0	10.0	38.0
716	1.0	4.0	1338.0	33.0
717	1.0	1338.0	10.0	40.0
718	1.0	4.0	1338.0	36.0
719	1.0	1338.0	10.0	39.0
