	BN2_C	BN2_H	BN2_W	time_cost
380	672.0	7.0	7.0	164.0
381	704.0	7.0	7.0	161.0
382	736.0	7.0	7.0	167.0
383	768.0	7.0	7.0	172.0
384	800.0	7.0	7.0	179.0
385	832.0	7.0	7.0	176.0
386	864.0	7.0	7.0	188.0
387	896.0	7.0	7.0	190.0
388	928.0	7.0	7.0	200.0
389	960.0	7.0	7.0	202.0
390	992.0	7.0	7.0	200.0
391	7.0	7.0	1024.0	218.0
392	64.0	56.0	56.0	838.0
393	96.0	56.0	56.0	1289.0
394	128.0	56.0	56.0	1754.0
395	160.0	56.0	56.0	2334.0
396	192.0	56.0	56.0	2793.0
397	224.0	56.0	56.0	3286.0
398	256.0	56.0	56.0	3727.0
399	128.0	28.0	28.0	428.0
400	160.0	28.0	28.0	499.0
401	192.0	28.0	28.0	694.0
402	224.0	28.0	28.0	743.0
403	128.0	28.0	28.0	426.0
404	256.0	28.0	28.0	852.0
405	288.0	28.0	28.0	948.0
406	320.0	28.0	28.0	1074.0
407	352.0	28.0	28.0	1214.0
408	384.0	28.0	28.0	1263.0
409	416.0	28.0	28.0	1426.0
410	448.0	28.0	28.0	1468.0
411	480.0	28.0	28.0	1703.0
412	512.0	28.0	28.0	1748.0
413	256.0	14.0	14.0	233.0
414	288.0	14.0	14.0	220.0
415	320.0	14.0	14.0	247.0
416	352.0	14.0	14.0	287.0
417	384.0	14.0	14.0	304.0
418	416.0	14.0	14.0	330.0
419	448.0	14.0	14.0	349.0
420	480.0	14.0	14.0	378.0
421	512.0	14.0	14.0	417.0
422	544.0	14.0	14.0	428.0
423	576.0	14.0	14.0	457.0
424	608.0	14.0	14.0	513.0
425	640.0	14.0	14.0	516.0
426	672.0	14.0	14.0	545.0
427	704.0	14.0	14.0	585.0
428	736.0	14.0	14.0	606.0
429	768.0	14.0	14.0	657.0
430	800.0	14.0	14.0	697.0
431	832.0	14.0	14.0	667.0
432	864.0	14.0	14.0	728.0
433	896.0	14.0	14.0	750.0
434	928.0	14.0	14.0	782.0
435	960.0	14.0	14.0	774.0
436	992.0	14.0	14.0	841.0
437	1024.0	14.0	14.0	826.0
438	512.0	7.0	7.0	145.0
439	544.0	7.0	7.0	141.0
440	576.0	7.0	7.0	145.0
441	608.0	7.0	7.0	158.0
442	640.0	7.0	7.0	153.0
443	672.0	7.0	7.0	165.0
444	704.0	7.0	7.0	165.0
445	736.0	7.0	7.0	165.0
446	768.0	7.0	7.0	176.0
447	800.0	7.0	7.0	177.0
448	832.0	7.0	7.0	177.0
449	864.0	7.0	7.0	191.0
450	896.0	7.0	7.0	184.0
451	928.0	7.0	7.0	202.0
452	960.0	7.0	7.0	201.0
453	992.0	7.0	7.0	200.0
454	7.0	7.0	1024.0	218.0
455	64.0	56.0	56.0	867.0
456	96.0	56.0	56.0	1366.0
