	trunc_coeff	time_cost
237	200704.0	4096.0
238	200704.0	3470.0
239	200704.0	3352.0
240	200704.0	3991.0
241	200704.0	3232.0
242	200704.0	3208.0
243	100352.0	2167.0
244	100352.0	1502.0
245	100352.0	2398.0
246	200704.0	2916.0
247	802816.0	12899.0
248	802816.0	13355.0
249	802816.0	12579.0
250	401408.0	6316.0
251	100352.0	2173.0
252	401408.0	7153.0
253	401408.0	6237.0
254	401408.0	6808.0
255	200704.0	4078.0
256	200704.0	3239.0
257	200704.0	3336.0
258	200704.0	4090.0
259	200704.0	3342.0
260	200704.0	3370.0
261	100352.0	2629.0
262	100352.0	1475.0
263	100352.0	2709.0
264	200704.0	3019.0
265	802816.0	13829.0
266	802816.0	13139.0
267	802816.0	12678.0
268	401408.0	6183.0
269	100352.0	2097.0
270	401408.0	7070.0
271	401408.0	6270.0
272	401408.0	6852.0
273	200704.0	4000.0
274	200704.0	3229.0
275	200704.0	3243.0
276	200704.0	4094.0
277	200704.0	3313.0
278	200704.0	3359.0
279	100352.0	2321.0
280	100352.0	1365.0
281	100352.0	2099.0
282	200704.0	3097.0
283	802816.0	13766.0
284	802816.0	14020.0
285	802816.0	13182.0
286	401408.0	6425.0
287	100352.0	2204.0
288	401408.0	7311.0
289	401408.0	6489.0
290	401408.0	7062.0
291	200704.0	4251.0
292	200704.0	3335.0
293	200704.0	3407.0
294	200704.0	4364.0
295	200704.0	3330.0
296	200704.0	3368.0
297	100352.0	2430.0
298	100352.0	1465.0
299	100352.0	2187.0
300	100352.0	2393.0
301	100352.0	1546.0
302	100352.0	2368.0
303	100352.0	2414.0
304	100352.0	2334.0
305	100352.0	2406.0
306	100352.0	1956.0
307	25088.0	495.0
308	25088.0	519.0
309	25088.0	487.0
310	100352.0	1387.0
311	25088.0	510.0
312	25088.0	527.0
313	25088.0	493.0
314	25088.0	511.0
315	25088.0	482.0
316	25088.0	1267.0
317	25088.0	499.0
318	25088.0	465.0
319	25088.0	424.0
320	50176.0	1334.0
321	6272.0	173.0
322	6272.0	192.0
323	6272.0	187.0
324	6272.0	204.0
325	6272.0	199.0
326	6272.0	191.0
327	6272.0	196.0
328	6272.0	187.0
329	6272.0	199.0
330	6272.0	178.0
331	6272.0	198.0
332	6272.0	194.0
333	6272.0	1009.0
334	6272.0	184.0
335	6272.0	209.0
336	6272.0	197.0
337	6272.0	198.0
338	6272.0	197.0
339	6272.0	188.0
340	6272.0	196.0
341	6272.0	187.0
342	6272.0	206.0
343	6272.0	183.0
344	6272.0	209.0
345	25088.0	317.0
346	1568.0	58.0
347	1568.0	69.0
348	1568.0	82.0
349	1568.0	77.0
350	1568.0	97.0
351	1568.0	80.0
352	1568.0	61.0
353	1568.0	66.0
354	1568.0	91.0
355	1568.0	77.0
356	1568.0	58.0
357	1568.0	100.0
358	1568.0	78.0
359	1568.0	76.0
360	1568.0	74.0
361	1568.0	64.0
362	100352.0	2343.0
363	100352.0	1480.0
364	100352.0	2314.0
365	100352.0	2240.0
366	100352.0	2230.0
367	100352.0	2234.0
368	100352.0	1819.0
369	25088.0	485.0
370	25088.0	478.0
371	25088.0	454.0
372	100352.0	1334.0
373	25088.0	493.0
374	25088.0	495.0
375	25088.0	473.0
376	25088.0	440.0
377	25088.0	425.0
378	25088.0	1149.0
379	25088.0	497.0
380	25088.0	490.0
381	25088.0	467.0
382	50176.0	1278.0
383	6272.0	204.0
384	6272.0	203.0
385	6272.0	200.0
386	6272.0	175.0
387	6272.0	179.0
388	6272.0	190.0
389	6272.0	151.0
390	6272.0	193.0
391	6272.0	190.0
392	6272.0	194.0
393	6272.0	191.0
394	6272.0	193.0
395	6272.0	876.0
396	6272.0	152.0
397	6272.0	124.0
398	6272.0	190.0
399	6272.0	179.0
400	6272.0	189.0
401	6272.0	169.0
402	6272.0	190.0
403	6272.0	186.0
404	6272.0	172.0
405	6272.0	173.0
406	6272.0	155.0
407	25088.0	299.0
408	1568.0	73.0
409	1568.0	67.0
410	1568.0	64.0
411	1568.0	69.0
412	1568.0	59.0
413	1568.0	69.0
414	1568.0	75.0
415	1568.0	80.0
416	1568.0	76.0
417	1568.0	84.0
418	1568.0	72.0
419	1568.0	59.0
420	1568.0	55.0
421	1568.0	74.0
422	1568.0	75.0
423	1568.0	59.0
424	100352.0	2187.0
425	100352.0	1501.0
426	100352.0	2209.0
427	100352.0	2141.0
428	100352.0	2262.0
429	100352.0	2184.0
430	100352.0	1860.0
431	25088.0	494.0
432	25088.0	492.0
433	25088.0	467.0
434	100352.0	1418.0
435	25088.0	475.0
436	25088.0	497.0
437	25088.0	405.0
438	25088.0	496.0
439	25088.0	433.0
440	25088.0	1132.0
441	25088.0	461.0
442	25088.0	482.0
443	25088.0	468.0
444	50176.0	1252.0
445	6272.0	177.0
446	6272.0	136.0
447	6272.0	130.0
448	6272.0	185.0
449	6272.0	189.0
450	6272.0	142.0
451	6272.0	187.0
452	6272.0	163.0
453	6272.0	190.0
454	6272.0	148.0
455	6272.0	169.0
456	6272.0	200.0
457	6272.0	882.0
458	6272.0	154.0
459	6272.0	203.0
460	6272.0	179.0
461	6272.0	179.0
462	6272.0	148.0
463	6272.0	180.0
464	6272.0	151.0
465	6272.0	183.0
466	6272.0	188.0
467	6272.0	187.0
468	6272.0	166.0
469	25088.0	306.0
470	1568.0	58.0
471	1568.0	73.0
472	1568.0	80.0
473	1568.0	78.0
474	1568.0	71.0
475	1568.0	56.0
476	1568.0	54.0
477	1568.0	62.0
478	1568.0	80.0
479	1568.0	72.0
480	1568.0	65.0
481	1568.0	70.0
482	1568.0	68.0
483	1568.0	74.0
484	1568.0	79.0
485	1568.0	76.0
486	100352.0	2177.0
487	100352.0	1703.0
488	100352.0	2140.0
489	100352.0	2232.0
490	100352.0	2388.0
491	100352.0	2148.0
492	100352.0	1815.0
493	25088.0	501.0
494	25088.0	489.0
495	25088.0	487.0
496	100352.0	1302.0
497	25088.0	589.0
498	25088.0	499.0
499	25088.0	486.0
500	25088.0	471.0
501	25088.0	412.0
502	25088.0	1194.0
503	25088.0	477.0
504	25088.0	499.0
505	25088.0	453.0
506	50176.0	1270.0
507	6272.0	127.0
508	6272.0	200.0
509	6272.0	186.0
510	6272.0	190.0
511	6272.0	199.0
512	6272.0	195.0
513	6272.0	172.0
514	6272.0	188.0
515	6272.0	198.0
516	6272.0	166.0
517	6272.0	183.0
518	6272.0	149.0
519	6272.0	963.0
520	6272.0	194.0
521	6272.0	141.0
522	6272.0	197.0
523	6272.0	195.0
524	6272.0	189.0
525	6272.0	188.0
526	6272.0	190.0
527	6272.0	182.0
528	6272.0	153.0
529	6272.0	193.0
530	6272.0	189.0
531	25088.0	330.0
532	1568.0	82.0
533	1568.0	75.0
534	1568.0	76.0
535	1568.0	85.0
536	1568.0	87.0
537	1568.0	77.0
538	1568.0	83.0
539	1568.0	78.0
540	1568.0	80.0
541	1568.0	79.0
542	1568.0	75.0
543	1568.0	84.0
544	1568.0	60.0
545	1568.0	74.0
546	1568.0	58.0
547	1568.0	70.0
548	100352.0	2242.0
549	100352.0	1570.0
550	100352.0	2299.0
551	100352.0	2158.0
552	100352.0	2247.0
553	100352.0	2212.0
554	100352.0	1907.0
555	25088.0	471.0
556	25088.0	470.0
557	25088.0	491.0
558	100352.0	1316.0
559	25088.0	452.0
560	25088.0	435.0
561	25088.0	473.0
562	25088.0	482.0
563	25088.0	383.0
564	25088.0	1124.0
565	25088.0	504.0
566	25088.0	488.0
567	25088.0	457.0
568	50176.0	1231.0
569	6272.0	178.0
570	6272.0	136.0
571	6272.0	185.0
572	6272.0	187.0
573	6272.0	99.0
574	6272.0	137.0
575	6272.0	168.0
576	6272.0	200.0
577	6272.0	143.0
578	6272.0	167.0
579	6272.0	196.0
580	6272.0	149.0
581	6272.0	892.0
582	6272.0	195.0
583	6272.0	178.0
584	6272.0	188.0
585	6272.0	200.0
586	6272.0	194.0
587	6272.0	196.0
588	6272.0	180.0
589	6272.0	173.0
590	6272.0	185.0
591	6272.0	175.0
592	6272.0	188.0
593	25088.0	327.0
594	1568.0	73.0
595	1568.0	62.0
596	1568.0	82.0
597	1568.0	83.0
598	1568.0	76.0
599	1568.0	79.0
600	1568.0	80.0
601	1568.0	78.0
602	1568.0	58.0
603	1568.0	77.0
604	1568.0	79.0
605	1568.0	73.0
606	1568.0	78.0
607	1568.0	73.0
608	1568.0	71.0
609	1568.0	70.0
610	100352.0	2243.0
611	100352.0	1705.0
612	100352.0	2234.0
613	100352.0	2250.0
614	100352.0	2440.0
615	100352.0	2325.0
616	100352.0	1915.0
617	25088.0	421.0
618	25088.0	435.0
619	25088.0	501.0
620	100352.0	1248.0
621	25088.0	545.0
622	25088.0	443.0
623	25088.0	465.0
624	25088.0	477.0
625	25088.0	513.0
626	25088.0	1345.0
627	25088.0	455.0
628	25088.0	503.0
629	25088.0	483.0
630	50176.0	1306.0
631	6272.0	190.0
632	6272.0	170.0
633	6272.0	196.0
634	6272.0	218.0
635	6272.0	181.0
636	6272.0	167.0
637	6272.0	180.0
638	6272.0	201.0
639	6272.0	190.0
640	6272.0	201.0
641	6272.0	182.0
642	6272.0	193.0
643	6272.0	938.0
644	6272.0	202.0
645	6272.0	200.0
646	6272.0	160.0
647	6272.0	166.0
648	6272.0	194.0
649	6272.0	195.0
650	6272.0	154.0
651	6272.0	155.0
652	6272.0	200.0
653	6272.0	176.0
654	6272.0	178.0
655	25088.0	307.0
656	1568.0	58.0
657	1568.0	89.0
658	1568.0	83.0
659	1568.0	77.0
660	1568.0	61.0
661	1568.0	85.0
662	1568.0	78.0
663	1568.0	78.0
664	1568.0	82.0
665	1568.0	84.0
666	1568.0	77.0
667	1568.0	64.0
668	1568.0	67.0
669	1568.0	66.0
670	1568.0	80.0
671	1568.0	78.0
672	100352.0	2263.0
673	100352.0	1568.0
674	100352.0	2240.0
675	100352.0	2245.0
676	100352.0	2235.0
677	100352.0	2183.0
678	100352.0	1795.0
679	25088.0	489.0
680	25088.0	460.0
681	25088.0	377.0
682	100352.0	1333.0
683	25088.0	480.0
684	25088.0	518.0
685	25088.0	473.0
686	25088.0	490.0
687	25088.0	421.0
688	25088.0	1150.0
689	25088.0	446.0
690	25088.0	491.0
691	25088.0	492.0
692	50176.0	1308.0
693	6272.0	133.0
694	6272.0	181.0
695	6272.0	191.0
696	6272.0	198.0
697	6272.0	164.0
698	6272.0	181.0
699	6272.0	132.0
700	6272.0	191.0
701	6272.0	191.0
702	6272.0	208.0
703	6272.0	178.0
704	6272.0	194.0
705	6272.0	920.0
706	6272.0	182.0
707	6272.0	163.0
708	6272.0	129.0
709	6272.0	162.0
710	6272.0	151.0
711	6272.0	170.0
712	6272.0	192.0
713	6272.0	210.0
714	6272.0	191.0
715	6272.0	128.0
716	6272.0	187.0
717	25088.0	305.0
718	1568.0	77.0
719	1568.0	70.0
720	1568.0	75.0
721	1568.0	82.0
722	1568.0	57.0
723	1568.0	60.0
724	1568.0	77.0
725	1568.0	85.0
726	1568.0	76.0
727	1568.0	85.0
728	1568.0	55.0
729	1568.0	58.0
730	1568.0	84.0
731	1568.0	75.0
732	1568.0	81.0
733	1568.0	85.0
734	100352.0	2153.0
735	100352.0	1513.0
736	100352.0	2404.0
737	100352.0	2217.0
738	100352.0	2335.0
739	100352.0	2295.0
740	100352.0	2172.0
741	25088.0	473.0
742	25088.0	504.0
743	25088.0	455.0
744	100352.0	1406.0
745	25088.0	480.0
746	25088.0	455.0
747	25088.0	467.0
748	25088.0	529.0
749	25088.0	499.0
750	25088.0	1213.0
751	25088.0	400.0
752	25088.0	518.0
753	25088.0	486.0
754	50176.0	1425.0
755	6272.0	200.0
756	6272.0	177.0
757	6272.0	176.0
758	6272.0	199.0
759	6272.0	191.0
760	6272.0	181.0
761	6272.0	188.0
762	6272.0	181.0
763	6272.0	209.0
764	6272.0	188.0
765	6272.0	176.0
766	6272.0	197.0
767	6272.0	1006.0
768	6272.0	187.0
769	6272.0	177.0
770	6272.0	204.0
771	6272.0	172.0
772	6272.0	200.0
773	6272.0	163.0
774	6272.0	197.0
775	6272.0	186.0
776	6272.0	190.0
777	6272.0	149.0
778	6272.0	191.0
779	25088.0	327.0
780	1568.0	56.0
781	1568.0	76.0
782	1568.0	81.0
783	1568.0	55.0
784	1568.0	84.0
785	1568.0	62.0
786	1568.0	78.0
787	1568.0	71.0
788	1568.0	82.0
789	1568.0	80.0
790	1568.0	72.0
791	1568.0	71.0
792	1568.0	80.0
793	1568.0	100.0
794	1568.0	87.0
795	1568.0	89.0
796	100352.0	2305.0
797	100352.0	1530.0
798	100352.0	2301.0
799	100352.0	2242.0
800	100352.0	2172.0
801	100352.0	2301.0
802	100352.0	1897.0
803	25088.0	443.0
804	25088.0	456.0
805	25088.0	453.0
806	100352.0	1228.0
807	25088.0	435.0
808	25088.0	497.0
809	25088.0	456.0
810	25088.0	486.0
811	25088.0	506.0
812	25088.0	1149.0
813	25088.0	437.0
814	25088.0	494.0
815	25088.0	517.0
816	50176.0	1284.0
817	6272.0	193.0
818	6272.0	186.0
819	6272.0	190.0
820	6272.0	184.0
821	6272.0	181.0
822	6272.0	183.0
823	6272.0	185.0
824	6272.0	165.0
825	6272.0	168.0
826	6272.0	134.0
827	6272.0	186.0
828	6272.0	158.0
829	6272.0	933.0
830	6272.0	185.0
831	6272.0	194.0
832	6272.0	185.0
833	6272.0	196.0
834	6272.0	182.0
835	6272.0	152.0
836	6272.0	160.0
837	6272.0	174.0
838	6272.0	198.0
839	6272.0	192.0
840	6272.0	186.0
841	25088.0	341.0
842	1568.0	79.0
843	1568.0	79.0
844	1568.0	79.0
845	1568.0	71.0
846	1568.0	76.0
847	1568.0	78.0
848	1568.0	86.0
849	1568.0	52.0
850	1568.0	56.0
851	1568.0	54.0
852	1568.0	79.0
853	1568.0	79.0
854	1568.0	79.0
855	1568.0	86.0
856	1568.0	77.0
857	1568.0	50.0
858	100352.0	2225.0
859	100352.0	1603.0
860	100352.0	2288.0
861	100352.0	2184.0
862	100352.0	2284.0
863	100352.0	2223.0
864	100352.0	1922.0
865	25088.0	449.0
866	25088.0	455.0
867	25088.0	501.0
868	100352.0	1333.0
869	25088.0	522.0
870	25088.0	470.0
871	25088.0	488.0
872	25088.0	447.0
873	25088.0	491.0
874	25088.0	1311.0
875	25088.0	484.0
876	25088.0	472.0
877	25088.0	501.0
878	50176.0	1357.0
879	6272.0	196.0
880	6272.0	180.0
881	6272.0	142.0
882	6272.0	168.0
883	6272.0	188.0
884	6272.0	139.0
885	6272.0	176.0
886	6272.0	179.0
887	6272.0	196.0
888	6272.0	182.0
889	6272.0	173.0
890	6272.0	189.0
891	6272.0	932.0
892	6272.0	184.0
893	6272.0	194.0
894	6272.0	139.0
895	6272.0	207.0
896	6272.0	202.0
897	6272.0	187.0
898	6272.0	162.0
899	6272.0	197.0
900	6272.0	114.0
901	6272.0	197.0
902	6272.0	163.0
903	25088.0	311.0
904	1568.0	73.0
905	1568.0	71.0
906	1568.0	80.0
907	1568.0	67.0
908	1568.0	84.0
909	1568.0	80.0
