	BN2_C	BN2_H	BN2_W	time_cost
274	96.0	56.0	56.0	1204.0
275	128.0	56.0	56.0	1703.0
276	160.0	56.0	56.0	2084.0
277	192.0	56.0	56.0	2393.0
278	224.0	56.0	56.0	2835.0
279	256.0	56.0	56.0	3128.0
280	128.0	28.0	28.0	441.0
281	160.0	28.0	28.0	564.0
282	192.0	28.0	28.0	552.0
283	224.0	28.0	28.0	769.0
284	128.0	28.0	28.0	431.0
285	256.0	28.0	28.0	899.0
286	288.0	28.0	28.0	955.0
287	320.0	28.0	28.0	987.0
288	352.0	28.0	28.0	962.0
289	384.0	28.0	28.0	1099.0
290	416.0	28.0	28.0	1299.0
291	448.0	28.0	28.0	1319.0
292	480.0	28.0	28.0	1348.0
293	512.0	28.0	28.0	1642.0
294	256.0	14.0	14.0	271.0
295	288.0	14.0	14.0	280.0
296	320.0	14.0	14.0	306.0
297	352.0	14.0	14.0	293.0
298	384.0	14.0	14.0	303.0
299	416.0	14.0	14.0	425.0
300	448.0	14.0	14.0	374.0
301	480.0	14.0	14.0	469.0
302	512.0	14.0	14.0	462.0
303	544.0	14.0	14.0	462.0
304	576.0	14.0	14.0	510.0
305	608.0	14.0	14.0	536.0
306	640.0	14.0	14.0	564.0
307	672.0	14.0	14.0	581.0
308	704.0	14.0	14.0	565.0
309	736.0	14.0	14.0	546.0
310	768.0	14.0	14.0	597.0
311	800.0	14.0	14.0	692.0
312	832.0	14.0	14.0	730.0
313	864.0	14.0	14.0	738.0
314	896.0	14.0	14.0	691.0
315	928.0	14.0	14.0	770.0
316	960.0	14.0	14.0	758.0
317	992.0	14.0	14.0	707.0
318	1024.0	14.0	14.0	704.0
319	512.0	7.0	7.0	150.0
320	544.0	7.0	7.0	110.0
321	576.0	7.0	7.0	163.0
322	608.0	7.0	7.0	152.0
323	640.0	7.0	7.0	202.0
324	672.0	7.0	7.0	154.0
325	704.0	7.0	7.0	200.0
326	736.0	7.0	7.0	207.0
327	768.0	7.0	7.0	215.0
328	800.0	7.0	7.0	217.0
329	832.0	7.0	7.0	179.0
330	864.0	7.0	7.0	209.0
331	896.0	7.0	7.0	230.0
332	928.0	7.0	7.0	242.0
333	960.0	7.0	7.0	247.0
334	992.0	7.0	7.0	259.0
335	7.0	7.0	1024.0	274.0
336	64.0	56.0	56.0	832.0
337	96.0	56.0	56.0	1197.0
338	128.0	56.0	56.0	1658.0
339	160.0	56.0	56.0	2006.0
340	192.0	56.0	56.0	2494.0
341	224.0	56.0	56.0	2861.0
342	256.0	56.0	56.0	3222.0
343	128.0	28.0	28.0	480.0
344	160.0	28.0	28.0	556.0
345	192.0	28.0	28.0	608.0
346	224.0	28.0	28.0	709.0
347	128.0	28.0	28.0	426.0
348	256.0	28.0	28.0	819.0
349	288.0	28.0	28.0	990.0
350	320.0	28.0	28.0	917.0
351	352.0	28.0	28.0	1057.0
352	384.0	28.0	28.0	1180.0
353	416.0	28.0	28.0	1223.0
354	448.0	28.0	28.0	1273.0
355	480.0	28.0	28.0	1464.0
356	512.0	28.0	28.0	1635.0
357	256.0	14.0	14.0	249.0
