	conv_N	conv_H	conv_W	conv_CI	conv_FH	conv_FW	conv_CO	conv_zPadHLeft	conv_zPadHRight	conv_zPadWLeft	conv_zPadWRight	conv_strideH	conv_strideW	time_cost
4699	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	91.0
4700	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1756.0
4701	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	931.0
4702	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	130.0
4703	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	64.0
4704	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	107.0
4705	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1732.0
4706	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	901.0
4707	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	107.0
4708	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	52.0
4709	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	89.0
4710	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1784.0
4711	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	863.0
4712	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	102.0
4713	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	52.0
4714	1.0	4.0	4.0	16.0	7.0	7.0	32.0	3.0	3.0	3.0	3.0	1.0	1.0	88.0
4715	1.0	224.0	224.0	3.0	5.0	5.0	16.0	0.0	0.0	0.0	0.0	1.0	1.0	1729.0
4716	1.0	109.0	109.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	2.0	2.0	896.0
4717	1.0	28.0	28.0	16.0	3.0	3.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	106.0
4718	1.0	14.0	14.0	16.0	7.0	7.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	66.0
