	BN2_coeff	time_cost
877	150528.0	220.0
878	156800.0	215.0
879	163072.0	260.0
880	169344.0	242.0
881	175616.0	261.0
882	181888.0	267.0
883	188160.0	373.0
884	194432.0	263.0
885	200704.0	323.0
886	25088.0	38.0
887	26656.0	46.0
888	28224.0	42.0
889	29792.0	58.0
890	31360.0	42.0
891	32928.0	67.0
892	34496.0	54.0
893	36064.0	53.0
894	37632.0	55.0
895	39200.0	67.0
896	40768.0	57.0
897	42336.0	67.0
898	43904.0	70.0
899	45472.0	67.0
900	47040.0	79.0
901	48608.0	86.0
902	50176.0	79.0
903	200704.0	330.0
904	301056.0	426.0
905	401408.0	623.0
906	501760.0	707.0
907	602112.0	863.0
908	702464.0	992.0
909	802816.0	1108.0
910	100352.0	136.0
911	125440.0	151.0
912	150528.0	213.0
913	175616.0	272.0
914	100352.0	133.0
915	200704.0	291.0
916	225792.0	357.0
917	250880.0	406.0
918	275968.0	366.0
919	301056.0	380.0
920	326144.0	467.0
921	351232.0	566.0
922	376320.0	551.0
923	401408.0	598.0
924	50176.0	66.0
925	56448.0	84.0
926	62720.0	80.0
927	68992.0	83.0
928	75264.0	106.0
929	81536.0	107.0
930	87808.0	119.0
931	94080.0	145.0
932	100352.0	152.0
933	106624.0	142.0
934	112896.0	130.0
935	119168.0	154.0
936	125440.0	143.0
937	131712.0	199.0
938	137984.0	182.0
939	144256.0	216.0
940	150528.0	211.0
941	156800.0	220.0
942	163072.0	197.0
943	169344.0	212.0
944	175616.0	233.0
945	181888.0	283.0
946	188160.0	249.0
947	194432.0	256.0
948	200704.0	352.0
949	25088.0	37.0
950	26656.0	48.0
951	28224.0	44.0
952	29792.0	50.0
953	31360.0	52.0
954	32928.0	63.0
955	34496.0	52.0
956	36064.0	70.0
957	37632.0	58.0
958	39200.0	57.0
959	40768.0	63.0
960	42336.0	72.0
961	43904.0	63.0
962	45472.0	75.0
963	47040.0	69.0
964	48608.0	77.0
965	50176.0	77.0
966	200704.0	295.0
967	301056.0	523.0
968	401408.0	547.0
969	501760.0	694.0
970	602112.0	885.0
971	702464.0	1073.0
972	802816.0	1072.0
973	100352.0	148.0
974	125440.0	171.0
975	150528.0	224.0
976	175616.0	254.0
977	100352.0	132.0
978	200704.0	262.0
979	225792.0	337.0
980	250880.0	376.0
981	275968.0	387.0
982	301056.0	426.0
983	326144.0	497.0
984	351232.0	561.0
985	376320.0	567.0
986	401408.0	666.0
987	50176.0	80.0
988	56448.0	84.0
989	62720.0	125.0
990	68992.0	98.0
991	75264.0	101.0
992	81536.0	111.0
993	87808.0	125.0
994	94080.0	131.0
995	100352.0	130.0
996	106624.0	136.0
997	112896.0	156.0
998	119168.0	154.0
999	125440.0	170.0
1000	131712.0	183.0
1001	137984.0	158.0
1002	144256.0	213.0
1003	150528.0	214.0
1004	156800.0	205.0
1005	163072.0	236.0
1006	169344.0	239.0
1007	175616.0	300.0
1008	181888.0	296.0
1009	188160.0	288.0
1010	194432.0	282.0
1011	200704.0	317.0
1012	25088.0	42.0
1013	26656.0	49.0
1014	28224.0	41.0
1015	29792.0	45.0
1016	31360.0	55.0
1017	32928.0	55.0
1018	34496.0	62.0
1019	36064.0	57.0
1020	37632.0	61.0
1021	39200.0	63.0
1022	40768.0	59.0
1023	42336.0	67.0
1024	43904.0	66.0
1025	45472.0	77.0
1026	47040.0	73.0
1027	48608.0	74.0
1028	50176.0	77.0
1029	200704.0	317.0
1030	301056.0	426.0
1031	401408.0	560.0
1032	501760.0	667.0
1033	602112.0	854.0
1034	702464.0	1009.0
1035	802816.0	1073.0
1036	100352.0	134.0
1037	125440.0	169.0
1038	150528.0	195.0
1039	175616.0	333.0
1040	100352.0	131.0
1041	200704.0	273.0
1042	225792.0	380.0
1043	250880.0	348.0
1044	275968.0	446.0
1045	301056.0	361.0
1046	326144.0	531.0
1047	351232.0	497.0
1048	376320.0	501.0
1049	401408.0	604.0
1050	50176.0	104.0
1051	56448.0	74.0
1052	62720.0	91.0
1053	68992.0	99.0
1054	75264.0	111.0
1055	81536.0	120.0
1056	87808.0	123.0
1057	94080.0	134.0
1058	100352.0	198.0
1059	106624.0	141.0
1060	112896.0	137.0
1061	119168.0	177.0
1062	125440.0	160.0
1063	131712.0	182.0
1064	137984.0	191.0
1065	144256.0	203.0
1066	150528.0	222.0
1067	156800.0	227.0
1068	163072.0	265.0
1069	169344.0	233.0
1070	175616.0	247.0
1071	181888.0	300.0
1072	188160.0	320.0
1073	194432.0	309.0
1074	200704.0	276.0
1075	25088.0	52.0
1076	26656.0	37.0
1077	28224.0	37.0
1078	29792.0	49.0
1079	31360.0	69.0
1080	32928.0	59.0
1081	34496.0	51.0
1082	36064.0	58.0
1083	37632.0	63.0
1084	39200.0	56.0
1085	40768.0	60.0
1086	42336.0	66.0
1087	43904.0	64.0
1088	45472.0	85.0
1089	47040.0	73.0
1090	48608.0	61.0
1091	50176.0	75.0
1092	200704.0	307.0
1093	301056.0	420.0
1094	401408.0	590.0
1095	501760.0	746.0
1096	602112.0	900.0
1097	702464.0	1038.0
1098	802816.0	1036.0
1099	100352.0	144.0
1100	125440.0	173.0
1101	150528.0	178.0
1102	175616.0	257.0
1103	100352.0	131.0
1104	200704.0	297.0
1105	225792.0	352.0
1106	250880.0	391.0
1107	275968.0	457.0
1108	301056.0	468.0
1109	326144.0	495.0
1110	351232.0	552.0
1111	376320.0	548.0
1112	401408.0	594.0
1113	50176.0	64.0
1114	56448.0	84.0
1115	62720.0	92.0
1116	68992.0	102.0
1117	75264.0	101.0
1118	81536.0	128.0
1119	87808.0	120.0
1120	94080.0	125.0
1121	100352.0	133.0
1122	106624.0	150.0
1123	112896.0	131.0
1124	119168.0	141.0
1125	125440.0	221.0
1126	131712.0	192.0
1127	137984.0	190.0
1128	144256.0	181.0
1129	150528.0	171.0
1130	156800.0	226.0
1131	163072.0	234.0
1132	169344.0	231.0
1133	175616.0	288.0
1134	181888.0	301.0
1135	188160.0	291.0
1136	194432.0	316.0
1137	200704.0	265.0
1138	25088.0	42.0
1139	26656.0	40.0
1140	28224.0	41.0
1141	29792.0	83.0
1142	31360.0	74.0
1143	32928.0	56.0
1144	34496.0	53.0
1145	36064.0	63.0
1146	37632.0	59.0
1147	39200.0	62.0
1148	40768.0	74.0
1149	42336.0	66.0
1150	43904.0	60.0
1151	45472.0	73.0
1152	47040.0	74.0
1153	48608.0	74.0
1154	50176.0	74.0
