	BN2_C	BN2_H	BN2_W	time_cost
475	288.0	28.0	28.0	417.0
476	320.0	28.0	28.0	465.0
477	352.0	28.0	28.0	587.0
478	384.0	28.0	28.0	609.0
479	416.0	28.0	28.0	632.0
480	448.0	28.0	28.0	689.0
481	480.0	28.0	28.0	693.0
482	512.0	28.0	28.0	764.0
483	256.0	14.0	14.0	104.0
484	288.0	14.0	14.0	125.0
485	320.0	14.0	14.0	132.0
486	352.0	14.0	14.0	124.0
487	384.0	14.0	14.0	130.0
488	416.0	14.0	14.0	134.0
489	448.0	14.0	14.0	157.0
490	480.0	14.0	14.0	177.0
491	512.0	14.0	14.0	135.0
492	544.0	14.0	14.0	188.0
493	576.0	14.0	14.0	195.0
494	608.0	14.0	14.0	206.0
495	640.0	14.0	14.0	238.0
496	672.0	14.0	14.0	235.0
497	704.0	14.0	14.0	263.0
498	736.0	14.0	14.0	259.0
499	768.0	14.0	14.0	280.0
500	800.0	14.0	14.0	320.0
501	832.0	14.0	14.0	249.0
502	864.0	14.0	14.0	278.0
503	896.0	14.0	14.0	326.0
504	928.0	14.0	14.0	327.0
505	960.0	14.0	14.0	361.0
506	992.0	14.0	14.0	397.0
507	1024.0	14.0	14.0	373.0
508	512.0	7.0	7.0	70.0
509	544.0	7.0	7.0	49.0
510	576.0	7.0	7.0	48.0
511	608.0	7.0	7.0	77.0
512	640.0	7.0	7.0	70.0
513	672.0	7.0	7.0	69.0
514	704.0	7.0	7.0	59.0
515	736.0	7.0	7.0	69.0
516	768.0	7.0	7.0	94.0
517	800.0	7.0	7.0	77.0
518	832.0	7.0	7.0	87.0
519	864.0	7.0	7.0	83.0
520	896.0	7.0	7.0	88.0
521	928.0	7.0	7.0	92.0
522	960.0	7.0	7.0	90.0
523	992.0	7.0	7.0	74.0
524	7.0	7.0	1024.0	99.0
525	64.0	56.0	56.0	371.0
526	96.0	56.0	56.0	692.0
527	128.0	56.0	56.0	701.0
528	160.0	56.0	56.0	987.0
529	192.0	56.0	56.0	1118.0
530	224.0	56.0	56.0	1362.0
531	256.0	56.0	56.0	1489.0
532	128.0	28.0	28.0	237.0
533	160.0	28.0	28.0	249.0
534	192.0	28.0	28.0	277.0
535	224.0	28.0	28.0	442.0
536	128.0	28.0	28.0	212.0
