avgpool_N,avgpool_H,avgpool_W,avgpool_C,avgpool_ksizeH,avgpool_ksizeW,avgpool_zPadHLeft,avgpool_zPadHRight,avgpool_zPadWLeft,avgpool_zPadWRight,avgpool_strideH,avgpool_strideW,avgpool_N1,avgpool_imgH,avgpool_imgW,avgpool_C1,count
1.0,20.0,20.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0,22.0,3.0,15
1.0,22.0,22.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24.0,24.0,3.0,15
1.0,23.0,23.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,47.0,47.0,3.0,15
1.0,24.0,24.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0,26.0,3.0,15
1.0,25.0,25.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27.0,27.0,3.0,15
1.0,25.0,25.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0,26.0,128.0,15
1.0,26.0,26.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27.0,27.0,3.0,15
1.0,26.0,26.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,28.0,3.0,15
1.0,26.0,26.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,26.0,3.0,15
1.0,26.0,26.0,64.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,53.0,53.0,64.0,15
1.0,26.0,26.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,53.0,53.0,128.0,15
1.0,27.0,27.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,54.0,54.0,3.0,15
1.0,27.0,27.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,15
1.0,27.0,27.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,27.0,27.0,3.0,15
1.0,27.0,27.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,53.0,53.0,3.0,30
1.0,27.0,27.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,30
1.0,27.0,27.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,3.0,15
1.0,27.0,27.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,54.0,54.0,3.0,15
1.0,27.0,27.0,64.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,64.0,15
1.0,28.0,28.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,55.0,55.0,3.0,15
1.0,28.0,28.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,16.0,15
1.0,28.0,28.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,55.0,55.0,16.0,15
1.0,28.0,28.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,128.0,15
1.0,47.0,47.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,49.0,49.0,3.0,15
1.0,49.0,49.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,51.0,3.0,15
