	BN2_coeff	time_cost
373	150528.0	280.0
374	156800.0	247.0
375	163072.0	293.0
376	169344.0	324.0
377	175616.0	309.0
378	181888.0	379.0
379	188160.0	409.0
380	194432.0	380.0
381	200704.0	344.0
382	25088.0	52.0
383	26656.0	55.0
384	28224.0	55.0
385	29792.0	52.0
386	31360.0	67.0
387	32928.0	66.0
388	34496.0	70.0
389	36064.0	78.0
390	37632.0	79.0
391	39200.0	88.0
392	40768.0	91.0
393	42336.0	88.0
394	43904.0	81.0
395	45472.0	96.0
396	47040.0	93.0
397	48608.0	88.0
398	50176.0	98.0
399	200704.0	394.0
400	301056.0	630.0
401	401408.0	767.0
402	501760.0	927.0
403	602112.0	1110.0
404	702464.0	1572.0
405	802816.0	1346.0
406	100352.0	183.0
407	125440.0	195.0
408	150528.0	306.0
409	175616.0	327.0
410	100352.0	186.0
411	200704.0	406.0
412	225792.0	446.0
413	250880.0	455.0
414	275968.0	504.0
415	301056.0	580.0
416	326144.0	674.0
417	351232.0	662.0
418	376320.0	662.0
419	401408.0	746.0
420	50176.0	109.0
421	56448.0	105.0
422	62720.0	110.0
423	68992.0	131.0
424	75264.0	133.0
425	81536.0	163.0
426	87808.0	165.0
427	94080.0	182.0
428	100352.0	179.0
429	106624.0	226.0
430	112896.0	200.0
431	119168.0	229.0
432	125440.0	259.0
433	131712.0	210.0
434	137984.0	282.0
435	144256.0	269.0
436	150528.0	282.0
437	156800.0	272.0
438	163072.0	308.0
439	169344.0	281.0
440	175616.0	311.0
441	181888.0	359.0
442	188160.0	378.0
443	194432.0	374.0
444	200704.0	376.0
445	25088.0	50.0
446	26656.0	54.0
447	28224.0	48.0
448	29792.0	58.0
449	31360.0	61.0
450	32928.0	71.0
451	34496.0	64.0
452	36064.0	80.0
453	37632.0	81.0
454	39200.0	71.0
455	40768.0	84.0
456	42336.0	81.0
457	43904.0	80.0
458	45472.0	97.0
459	47040.0	98.0
460	48608.0	103.0
461	50176.0	109.0
462	200704.0	439.0
463	301056.0	620.0
464	401408.0	1013.0
465	501760.0	985.0
466	602112.0	1035.0
467	702464.0	1404.0
468	802816.0	1638.0
469	100352.0	200.0
470	125440.0	201.0
471	150528.0	267.0
472	175616.0	382.0
473	100352.0	193.0
474	200704.0	438.0
475	225792.0	417.0
476	250880.0	465.0
477	275968.0	587.0
478	301056.0	609.0
479	326144.0	632.0
480	351232.0	689.0
481	376320.0	693.0
482	401408.0	764.0
483	50176.0	104.0
484	56448.0	125.0
485	62720.0	132.0
486	68992.0	124.0
487	75264.0	130.0
488	81536.0	134.0
489	87808.0	157.0
490	94080.0	177.0
491	100352.0	135.0
492	106624.0	188.0
493	112896.0	195.0
494	119168.0	206.0
495	125440.0	238.0
496	131712.0	235.0
497	137984.0	263.0
498	144256.0	259.0
499	150528.0	280.0
500	156800.0	320.0
501	163072.0	249.0
502	169344.0	278.0
503	175616.0	326.0
504	181888.0	327.0
505	188160.0	361.0
506	194432.0	397.0
507	200704.0	373.0
508	25088.0	70.0
509	26656.0	49.0
510	28224.0	48.0
511	29792.0	77.0
512	31360.0	70.0
513	32928.0	69.0
514	34496.0	59.0
515	36064.0	69.0
516	37632.0	94.0
517	39200.0	77.0
518	40768.0	87.0
519	42336.0	83.0
520	43904.0	88.0
521	45472.0	92.0
522	47040.0	90.0
523	48608.0	74.0
524	50176.0	99.0
525	200704.0	371.0
526	301056.0	692.0
527	401408.0	701.0
528	501760.0	987.0
529	602112.0	1118.0
530	702464.0	1362.0
531	802816.0	1489.0
532	100352.0	237.0
533	125440.0	249.0
534	150528.0	277.0
535	175616.0	442.0
536	100352.0	212.0
537	200704.0	331.0
538	225792.0	431.0
539	250880.0	478.0
540	275968.0	532.0
541	301056.0	622.0
542	326144.0	620.0
543	351232.0	644.0
544	376320.0	740.0
545	401408.0	821.0
546	50176.0	100.0
547	56448.0	101.0
548	62720.0	127.0
549	68992.0	122.0
550	75264.0	133.0
551	81536.0	149.0
552	87808.0	151.0
553	94080.0	176.0
554	100352.0	161.0
555	106624.0	226.0
556	112896.0	206.0
557	119168.0	220.0
558	125440.0	270.0
559	131712.0	243.0
560	137984.0	240.0
561	144256.0	288.0
562	150528.0	276.0
563	156800.0	255.0
564	163072.0	295.0
565	169344.0	345.0
566	175616.0	375.0
567	181888.0	370.0
568	188160.0	337.0
569	194432.0	413.0
570	200704.0	427.0
571	25088.0	62.0
572	26656.0	56.0
573	28224.0	59.0
574	29792.0	66.0
575	31360.0	62.0
576	32928.0	67.0
577	34496.0	75.0
578	36064.0	69.0
579	37632.0	84.0
580	39200.0	105.0
581	40768.0	92.0
582	42336.0	89.0
583	43904.0	101.0
584	45472.0	91.0
585	47040.0	106.0
586	48608.0	102.0
587	50176.0	100.0
588	200704.0	340.0
589	301056.0	581.0
590	401408.0	879.0
591	501760.0	967.0
592	602112.0	1095.0
593	702464.0	1407.0
594	802816.0	1559.0
595	100352.0	208.0
596	125440.0	245.0
597	150528.0	337.0
598	175616.0	386.0
599	100352.0	181.0
600	200704.0	386.0
601	225792.0	427.0
602	250880.0	555.0
603	275968.0	485.0
604	301056.0	544.0
605	326144.0	598.0
606	351232.0	643.0
607	376320.0	698.0
608	401408.0	848.0
609	50176.0	103.0
610	56448.0	106.0
611	62720.0	101.0
612	68992.0	133.0
613	75264.0	128.0
614	81536.0	150.0
615	87808.0	160.0
616	94080.0	144.0
617	100352.0	181.0
618	106624.0	195.0
619	112896.0	202.0
620	119168.0	202.0
621	125440.0	201.0
622	131712.0	267.0
623	137984.0	245.0
624	144256.0	256.0
625	150528.0	289.0
626	156800.0	313.0
627	163072.0	248.0
628	169344.0	318.0
629	175616.0	380.0
630	181888.0	334.0
631	188160.0	397.0
632	194432.0	435.0
633	200704.0	381.0
634	25088.0	58.0
635	26656.0	51.0
636	28224.0	54.0
637	29792.0	68.0
638	31360.0	48.0
639	32928.0	72.0
640	34496.0	75.0
641	36064.0	65.0
642	37632.0	82.0
643	39200.0	84.0
644	40768.0	85.0
645	42336.0	74.0
646	43904.0	77.0
647	45472.0	96.0
648	47040.0	93.0
649	48608.0	90.0
650	50176.0	118.0
651	200704.0	395.0
652	301056.0	544.0
653	401408.0	863.0
654	501760.0	992.0
655	602112.0	1069.0
656	702464.0	1425.0
657	802816.0	1519.0
658	100352.0	182.0
659	125440.0	198.0
660	150528.0	277.0
661	175616.0	401.0
662	100352.0	206.0
663	200704.0	382.0
664	225792.0	418.0
665	250880.0	466.0
666	275968.0	493.0
667	301056.0	609.0
668	326144.0	589.0
669	351232.0	713.0
670	376320.0	751.0
671	401408.0	824.0
672	50176.0	101.0
673	56448.0	102.0
674	62720.0	115.0
675	68992.0	121.0
676	75264.0	161.0
677	81536.0	118.0
678	87808.0	179.0
679	94080.0	167.0
680	100352.0	183.0
681	106624.0	192.0
682	112896.0	219.0
683	119168.0	243.0
684	125440.0	226.0
685	131712.0	259.0
686	137984.0	267.0
687	144256.0	264.0
688	150528.0	311.0
689	156800.0	246.0
690	163072.0	314.0
691	169344.0	307.0
692	175616.0	417.0
693	181888.0	359.0
694	188160.0	377.0
695	194432.0	394.0
696	200704.0	354.0
697	25088.0	61.0
698	26656.0	51.0
699	28224.0	56.0
700	29792.0	66.0
701	31360.0	85.0
702	32928.0	76.0
703	34496.0	88.0
704	36064.0	79.0
705	37632.0	70.0
706	39200.0	90.0
707	40768.0	70.0
708	42336.0	84.0
709	43904.0	81.0
710	45472.0	102.0
711	47040.0	87.0
712	48608.0	100.0
713	50176.0	96.0
714	200704.0	453.0
715	301056.0	639.0
716	401408.0	838.0
717	501760.0	990.0
718	602112.0	1097.0
719	702464.0	1334.0
720	802816.0	1557.0
721	100352.0	167.0
722	125440.0	229.0
723	150528.0	259.0
724	175616.0	342.0
725	100352.0	192.0
726	200704.0	398.0
727	225792.0	434.0
728	250880.0	510.0
729	275968.0	525.0
730	301056.0	573.0
731	326144.0	614.0
732	351232.0	573.0
733	376320.0	699.0
734	401408.0	749.0
735	50176.0	112.0
736	56448.0	130.0
737	62720.0	134.0
738	68992.0	138.0
739	75264.0	140.0
740	81536.0	152.0
741	87808.0	156.0
742	94080.0	135.0
743	100352.0	177.0
744	106624.0	167.0
745	112896.0	216.0
746	119168.0	222.0
747	125440.0	221.0
748	131712.0	219.0
749	137984.0	274.0
750	144256.0	309.0
751	150528.0	282.0
752	156800.0	321.0
753	163072.0	240.0
754	169344.0	348.0
755	175616.0	391.0
756	181888.0	331.0
757	188160.0	334.0
758	194432.0	341.0
759	200704.0	383.0
760	25088.0	46.0
761	26656.0	55.0
762	28224.0	51.0
763	29792.0	59.0
764	31360.0	60.0
765	32928.0	68.0
766	34496.0	73.0
767	36064.0	71.0
768	37632.0	79.0
769	39200.0	103.0
770	40768.0	74.0
771	42336.0	82.0
772	43904.0	83.0
773	45472.0	97.0
774	47040.0	78.0
775	48608.0	89.0
776	50176.0	88.0
777	200704.0	376.0
778	301056.0	654.0
779	401408.0	954.0
780	501760.0	1024.0
781	602112.0	1154.0
782	702464.0	1409.0
783	802816.0	1556.0
784	100352.0	205.0
785	125440.0	247.0
786	150528.0	281.0
787	175616.0	406.0
788	100352.0	186.0
789	200704.0	336.0
790	225792.0	482.0
791	250880.0	450.0
792	275968.0	557.0
793	301056.0	611.0
794	326144.0	750.0
795	351232.0	752.0
796	376320.0	625.0
797	401408.0	843.0
798	50176.0	86.0
799	56448.0	105.0
800	62720.0	132.0
801	68992.0	140.0
802	75264.0	140.0
803	81536.0	159.0
804	87808.0	160.0
805	94080.0	165.0
806	100352.0	197.0
807	106624.0	194.0
808	112896.0	213.0
809	119168.0	215.0
810	125440.0	220.0
811	131712.0	254.0
812	137984.0	270.0
813	144256.0	285.0
814	150528.0	340.0
815	156800.0	308.0
816	163072.0	301.0
817	169344.0	304.0
818	175616.0	276.0
819	181888.0	344.0
820	188160.0	298.0
821	194432.0	349.0
822	200704.0	403.0
823	25088.0	61.0
824	26656.0	58.0
825	28224.0	49.0
826	29792.0	71.0
827	31360.0	69.0
828	32928.0	68.0
829	34496.0	67.0
830	36064.0	74.0
831	37632.0	90.0
832	39200.0	89.0
833	40768.0	85.0
834	42336.0	90.0
835	43904.0	85.0
836	45472.0	91.0
837	47040.0	92.0
838	48608.0	89.0
839	50176.0	88.0
840	200704.0	414.0
841	301056.0	564.0
842	401408.0	825.0
843	501760.0	899.0
844	602112.0	1077.0
845	702464.0	1470.0
846	802816.0	1481.0
847	100352.0	186.0
848	125440.0	231.0
849	150528.0	328.0
850	175616.0	389.0
851	100352.0	174.0
852	200704.0	410.0
853	225792.0	411.0
854	250880.0	487.0
855	275968.0	595.0
856	301056.0	573.0
857	326144.0	598.0
858	351232.0	833.0
859	376320.0	753.0
860	401408.0	860.0
861	50176.0	104.0
862	56448.0	110.0
863	62720.0	120.0
864	68992.0	124.0
865	75264.0	137.0
866	81536.0	159.0
867	87808.0	177.0
868	94080.0	178.0
869	100352.0	175.0
870	106624.0	210.0
871	112896.0	219.0
872	119168.0	187.0
873	125440.0	248.0
874	131712.0	273.0
875	137984.0	240.0
876	144256.0	283.0
877	150528.0	317.0
878	156800.0	277.0
879	163072.0	323.0
880	169344.0	318.0
881	175616.0	342.0
882	181888.0	315.0
