	BN2_C	BN2_H	BN2_W	time_cost
841	96.0	56.0	56.0	465.0
842	128.0	56.0	56.0	584.0
843	160.0	56.0	56.0	678.0
844	192.0	56.0	56.0	827.0
845	224.0	56.0	56.0	1035.0
846	256.0	56.0	56.0	1162.0
847	128.0	28.0	28.0	144.0
848	160.0	28.0	28.0	165.0
849	192.0	28.0	28.0	260.0
850	224.0	28.0	28.0	273.0
851	128.0	28.0	28.0	136.0
852	256.0	28.0	28.0	306.0
853	288.0	28.0	28.0	323.0
854	320.0	28.0	28.0	360.0
855	352.0	28.0	28.0	490.0
856	384.0	28.0	28.0	460.0
857	416.0	28.0	28.0	483.0
858	448.0	28.0	28.0	616.0
859	480.0	28.0	28.0	583.0
860	512.0	28.0	28.0	588.0
861	256.0	14.0	14.0	84.0
862	288.0	14.0	14.0	82.0
863	320.0	14.0	14.0	97.0
864	352.0	14.0	14.0	94.0
865	384.0	14.0	14.0	106.0
866	416.0	14.0	14.0	121.0
867	448.0	14.0	14.0	142.0
868	480.0	14.0	14.0	136.0
869	512.0	14.0	14.0	139.0
870	544.0	14.0	14.0	148.0
871	576.0	14.0	14.0	154.0
872	608.0	14.0	14.0	140.0
873	640.0	14.0	14.0	186.0
874	672.0	14.0	14.0	187.0
875	704.0	14.0	14.0	159.0
876	736.0	14.0	14.0	214.0
877	768.0	14.0	14.0	220.0
878	800.0	14.0	14.0	215.0
879	832.0	14.0	14.0	260.0
880	864.0	14.0	14.0	242.0
881	896.0	14.0	14.0	261.0
882	928.0	14.0	14.0	267.0
883	960.0	14.0	14.0	373.0
884	992.0	14.0	14.0	263.0
885	1024.0	14.0	14.0	323.0
886	512.0	7.0	7.0	38.0
887	544.0	7.0	7.0	46.0
888	576.0	7.0	7.0	42.0
889	608.0	7.0	7.0	58.0
890	640.0	7.0	7.0	42.0
891	672.0	7.0	7.0	67.0
892	704.0	7.0	7.0	54.0
893	736.0	7.0	7.0	53.0
894	768.0	7.0	7.0	55.0
895	800.0	7.0	7.0	67.0
896	832.0	7.0	7.0	57.0
897	864.0	7.0	7.0	67.0
898	896.0	7.0	7.0	70.0
899	928.0	7.0	7.0	67.0
900	960.0	7.0	7.0	79.0
901	992.0	7.0	7.0	86.0
902	7.0	7.0	1024.0	79.0
903	64.0	56.0	56.0	330.0
904	96.0	56.0	56.0	426.0
905	128.0	56.0	56.0	623.0
906	160.0	56.0	56.0	707.0
907	192.0	56.0	56.0	863.0
908	224.0	56.0	56.0	992.0
909	256.0	56.0	56.0	1108.0
910	128.0	28.0	28.0	136.0
911	160.0	28.0	28.0	151.0
912	192.0	28.0	28.0	213.0
913	224.0	28.0	28.0	272.0
914	128.0	28.0	28.0	133.0
915	256.0	28.0	28.0	291.0
916	288.0	28.0	28.0	357.0
917	320.0	28.0	28.0	406.0
918	352.0	28.0	28.0	366.0
919	384.0	28.0	28.0	380.0
920	416.0	28.0	28.0	467.0
921	448.0	28.0	28.0	566.0
922	480.0	28.0	28.0	551.0
923	512.0	28.0	28.0	598.0
924	256.0	14.0	14.0	66.0
925	288.0	14.0	14.0	84.0
926	320.0	14.0	14.0	80.0
927	352.0	14.0	14.0	83.0
928	384.0	14.0	14.0	106.0
929	416.0	14.0	14.0	107.0
930	448.0	14.0	14.0	119.0
931	480.0	14.0	14.0	145.0
932	512.0	14.0	14.0	152.0
933	544.0	14.0	14.0	142.0
934	576.0	14.0	14.0	130.0
935	608.0	14.0	14.0	154.0
936	640.0	14.0	14.0	143.0
937	672.0	14.0	14.0	199.0
938	704.0	14.0	14.0	182.0
939	736.0	14.0	14.0	216.0
940	768.0	14.0	14.0	211.0
941	800.0	14.0	14.0	220.0
942	832.0	14.0	14.0	197.0
943	864.0	14.0	14.0	212.0
944	896.0	14.0	14.0	233.0
945	928.0	14.0	14.0	283.0
946	960.0	14.0	14.0	249.0
947	992.0	14.0	14.0	256.0
948	1024.0	14.0	14.0	352.0
949	512.0	7.0	7.0	37.0
950	544.0	7.0	7.0	48.0
951	576.0	7.0	7.0	44.0
952	608.0	7.0	7.0	50.0
953	640.0	7.0	7.0	52.0
954	672.0	7.0	7.0	63.0
955	704.0	7.0	7.0	52.0
956	736.0	7.0	7.0	70.0
957	768.0	7.0	7.0	58.0
958	800.0	7.0	7.0	57.0
959	832.0	7.0	7.0	63.0
960	864.0	7.0	7.0	72.0
961	896.0	7.0	7.0	63.0
962	928.0	7.0	7.0	75.0
963	960.0	7.0	7.0	69.0
964	992.0	7.0	7.0	77.0
965	7.0	7.0	1024.0	77.0
966	64.0	56.0	56.0	295.0
967	96.0	56.0	56.0	523.0
968	128.0	56.0	56.0	547.0
969	160.0	56.0	56.0	694.0
970	192.0	56.0	56.0	885.0
971	224.0	56.0	56.0	1073.0
972	256.0	56.0	56.0	1072.0
973	128.0	28.0	28.0	148.0
974	160.0	28.0	28.0	171.0
975	192.0	28.0	28.0	224.0
976	224.0	28.0	28.0	254.0
977	128.0	28.0	28.0	132.0
978	256.0	28.0	28.0	262.0
979	288.0	28.0	28.0	337.0
980	320.0	28.0	28.0	376.0
981	352.0	28.0	28.0	387.0
982	384.0	28.0	28.0	426.0
983	416.0	28.0	28.0	497.0
984	448.0	28.0	28.0	561.0
985	480.0	28.0	28.0	567.0
986	512.0	28.0	28.0	666.0
987	256.0	14.0	14.0	80.0
988	288.0	14.0	14.0	84.0
989	320.0	14.0	14.0	125.0
990	352.0	14.0	14.0	98.0
991	384.0	14.0	14.0	101.0
992	416.0	14.0	14.0	111.0
993	448.0	14.0	14.0	125.0
994	480.0	14.0	14.0	131.0
995	512.0	14.0	14.0	130.0
996	544.0	14.0	14.0	136.0
997	576.0	14.0	14.0	156.0
998	608.0	14.0	14.0	154.0
999	640.0	14.0	14.0	170.0
1000	672.0	14.0	14.0	183.0
1001	704.0	14.0	14.0	158.0
1002	736.0	14.0	14.0	213.0
1003	768.0	14.0	14.0	214.0
1004	800.0	14.0	14.0	205.0
1005	832.0	14.0	14.0	236.0
1006	864.0	14.0	14.0	239.0
1007	896.0	14.0	14.0	300.0
1008	928.0	14.0	14.0	296.0
1009	960.0	14.0	14.0	288.0
1010	992.0	14.0	14.0	282.0
1011	1024.0	14.0	14.0	317.0
1012	512.0	7.0	7.0	42.0
1013	544.0	7.0	7.0	49.0
1014	576.0	7.0	7.0	41.0
1015	608.0	7.0	7.0	45.0
1016	640.0	7.0	7.0	55.0
1017	672.0	7.0	7.0	55.0
1018	704.0	7.0	7.0	62.0
1019	736.0	7.0	7.0	57.0
1020	768.0	7.0	7.0	61.0
1021	800.0	7.0	7.0	63.0
1022	832.0	7.0	7.0	59.0
1023	864.0	7.0	7.0	67.0
1024	896.0	7.0	7.0	66.0
1025	928.0	7.0	7.0	77.0
1026	960.0	7.0	7.0	73.0
