	FC_N	FC_CI	FC_CO	time_cost
333	1.0	9216.0	1024.0	597.0
334	1.0	1024.0	10.0	8.0
335	1.0	9216.0	1024.0	744.0
336	1.0	1024.0	10.0	10.0
337	1.0	9216.0	1024.0	698.0
338	1.0	1024.0	10.0	9.0
339	1.0	9216.0	1024.0	628.0
340	1.0	1024.0	10.0	9.0
341	1.0	9216.0	1024.0	614.0
342	1.0	1024.0	10.0	10.0
343	1.0	9216.0	1024.0	805.0
344	1.0	1024.0	10.0	8.0
345	1.0	588.0	1024.0	58.0
346	1.0	1024.0	10.0	9.0
347	1.0	588.0	1024.0	60.0
348	1.0	1024.0	10.0	9.0
349	1.0	588.0	1024.0	56.0
350	1.0	1024.0	10.0	10.0
351	1.0	588.0	1024.0	59.0
352	1.0	1024.0	10.0	7.0
353	1.0	588.0	1024.0	62.0
354	1.0	1024.0	10.0	9.0
355	1.0	588.0	1024.0	57.0
356	1.0	1024.0	10.0	9.0
357	1.0	588.0	1024.0	58.0
358	1.0	1024.0	10.0	8.0
359	1.0	588.0	1024.0	58.0
360	1.0	1024.0	10.0	8.0
361	1.0	588.0	1024.0	58.0
362	1.0	1024.0	10.0	8.0
363	1.0	588.0	1024.0	58.0
364	1.0	1024.0	10.0	9.0
365	1.0	588.0	1024.0	56.0
366	1.0	1024.0	10.0	7.0
367	1.0	588.0	1024.0	57.0
368	1.0	1024.0	10.0	7.0
369	1.0	588.0	1024.0	57.0
370	1.0	1024.0	10.0	8.0
371	1.0	588.0	1024.0	83.0
372	1.0	1024.0	10.0	8.0
373	1.0	588.0	1024.0	60.0
374	1.0	1024.0	10.0	10.0
375	1.0	588.0	1024.0	57.0
376	1.0	1024.0	10.0	8.0
377	1.0	588.0	1024.0	58.0
378	1.0	1024.0	10.0	6.0
379	1.0	588.0	1024.0	52.0
380	1.0	1024.0	10.0	9.0
381	1.0	588.0	1024.0	66.0
382	1.0	1024.0	10.0	8.0
383	1.0	588.0	1024.0	57.0
384	1.0	1024.0	10.0	9.0
385	1.0	588.0	1024.0	59.0
386	1.0	1024.0	10.0	10.0
387	1.0	588.0	1024.0	68.0
388	1.0	1024.0	10.0	9.0
389	1.0	588.0	1024.0	66.0
390	1.0	1024.0	10.0	10.0
391	1.0	588.0	1024.0	54.0
392	1.0	1024.0	10.0	8.0
393	1.0	588.0	1024.0	68.0
394	1.0	1024.0	10.0	8.0
395	1.0	588.0	1024.0	72.0
396	1.0	1024.0	10.0	10.0
397	1.0	588.0	1024.0	63.0
398	1.0	1024.0	10.0	8.0
399	1.0	588.0	1024.0	59.0
400	1.0	1024.0	10.0	10.0
401	1.0	588.0	1024.0	56.0
402	1.0	1024.0	10.0	9.0
403	1.0	588.0	1024.0	56.0
404	1.0	1024.0	10.0	7.0
405	1.0	507.0	1024.0	60.0
406	1.0	1024.0	10.0	8.0
407	1.0	507.0	1024.0	57.0
408	1.0	1024.0	10.0	8.0
409	1.0	507.0	1024.0	57.0
410	1.0	1024.0	10.0	8.0
411	1.0	507.0	1024.0	55.0
412	1.0	1024.0	10.0	7.0
413	1.0	507.0	1024.0	58.0
414	1.0	1024.0	10.0	9.0
415	1.0	507.0	1024.0	57.0
416	1.0	1024.0	10.0	8.0
417	1.0	507.0	1024.0	55.0
418	1.0	1024.0	10.0	8.0
419	1.0	507.0	1024.0	57.0
420	1.0	1024.0	10.0	9.0
421	1.0	507.0	1024.0	61.0
422	1.0	1024.0	10.0	9.0
423	1.0	507.0	1024.0	55.0
424	1.0	1024.0	10.0	9.0
425	1.0	507.0	1024.0	53.0
426	1.0	1024.0	10.0	8.0
427	1.0	507.0	1024.0	70.0
428	1.0	1024.0	10.0	11.0
429	1.0	507.0	1024.0	55.0
430	1.0	1024.0	10.0	9.0
431	1.0	507.0	1024.0	55.0
432	1.0	1024.0	10.0	7.0
433	1.0	507.0	1024.0	56.0
434	1.0	1024.0	10.0	8.0
435	1.0	48.0	1024.0	14.0
436	1.0	1024.0	10.0	8.0
437	1.0	48.0	1024.0	13.0
438	1.0	1024.0	10.0	7.0
439	1.0	48.0	1024.0	14.0
440	1.0	1024.0	10.0	7.0
441	1.0	48.0	1024.0	21.0
442	1.0	1024.0	10.0	10.0
443	1.0	48.0	1024.0	13.0
444	1.0	1024.0	10.0	6.0
445	1.0	48.0	1024.0	14.0
446	1.0	1024.0	10.0	7.0
447	1.0	48.0	1024.0	13.0
448	1.0	1024.0	10.0	8.0
449	1.0	48.0	1024.0	14.0
450	1.0	1024.0	10.0	6.0
451	1.0	48.0	1024.0	13.0
452	1.0	1024.0	10.0	7.0
453	1.0	48.0	1024.0	22.0
454	1.0	1024.0	10.0	9.0
455	1.0	48.0	1024.0	13.0
456	1.0	1024.0	10.0	7.0
457	1.0	48.0	1024.0	13.0
458	1.0	1024.0	10.0	7.0
459	1.0	48.0	1024.0	13.0
460	1.0	1024.0	10.0	7.0
461	1.0	48.0	1024.0	16.0
462	1.0	1024.0	10.0	8.0
463	1.0	48.0	1024.0	14.0
464	1.0	1024.0	10.0	7.0
465	1.0	507.0	1024.0	63.0
466	1.0	1024.0	10.0	9.0
467	1.0	507.0	1024.0	51.0
468	1.0	1024.0	10.0	7.0
469	1.0	507.0	1024.0	62.0
470	1.0	1024.0	10.0	11.0
471	1.0	507.0	1024.0	64.0
472	1.0	1024.0	10.0	9.0
473	1.0	507.0	1024.0	54.0
474	1.0	1024.0	10.0	11.0
475	1.0	507.0	1024.0	48.0
476	1.0	1024.0	10.0	8.0
477	1.0	507.0	1024.0	70.0
478	1.0	1024.0	10.0	15.0
479	1.0	507.0	1024.0	72.0
480	1.0	1024.0	10.0	10.0
481	1.0	507.0	1024.0	56.0
482	1.0	1024.0	10.0	9.0
483	1.0	507.0	1024.0	68.0
484	1.0	1024.0	10.0	8.0
485	1.0	507.0	1024.0	57.0
486	1.0	1024.0	10.0	8.0
487	1.0	507.0	1024.0	65.0
488	1.0	1024.0	10.0	9.0
489	1.0	507.0	1024.0	54.0
490	1.0	1024.0	10.0	10.0
491	1.0	507.0	1024.0	76.0
492	1.0	1024.0	10.0	8.0
493	1.0	507.0	1024.0	69.0
494	1.0	1024.0	10.0	10.0
495	1.0	108.0	1024.0	20.0
496	1.0	1024.0	10.0	7.0
497	1.0	108.0	1024.0	20.0
498	1.0	1024.0	10.0	7.0
499	1.0	108.0	1024.0	23.0
500	1.0	1024.0	10.0	7.0
501	1.0	108.0	1024.0	20.0
502	1.0	1024.0	10.0	7.0
503	1.0	108.0	1024.0	21.0
