# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.487      413.700       17.570       24.059
       0.490        0.000       17.570       24.059
       0.492        0.000       17.570       24.059
       0.495        0.000       17.828       24.059
       0.497        0.000       17.828       24.059
       0.499        0.000       17.828       24.059
       0.502        0.000       17.828       24.059
       0.504        0.000       17.828       24.059
       0.507        0.000       17.828       24.059
       0.509        0.000       17.828       24.059
       0.512        0.000       18.086       24.059
       0.514        0.000       18.086       25.188
       0.517      396.000       18.086       25.188
       0.519        0.000       18.086       25.188
       0.522        0.000       18.355       25.242
       0.524        0.000       18.355       25.242
       0.527      419.700       18.355       25.242
       0.529      204.500       18.355       25.242
       0.534        0.000       18.355       25.242
       0.536        0.000       18.355       25.371
       0.539        0.000       18.621       25.371
       0.541        0.000       18.621       25.371
       0.544        0.000       18.879       25.371
       0.546        0.000       18.879       25.371
       0.548      401.100       18.879       25.371
       0.551        0.000       18.879       25.551
       0.553        0.000       19.133       25.551
       0.556      393.400       19.133       25.551
       0.558        0.000       19.133       25.551
       0.561        0.000       19.391       25.551
       0.563        0.000       19.391       25.551
       0.566        0.000       19.391       25.551
       0.568        0.000       19.391       25.551
       0.570        0.000       19.391       25.551
       0.573        0.000       19.391       26.551
       0.575        0.000       19.707       26.551
       0.578        0.000       19.707       26.551
       0.580      397.100       19.707       26.695
       0.583        0.000       19.965       26.695
       0.585        0.000       19.965       26.695
       0.588        0.000       19.965       26.695
       0.590        0.000       19.965       26.695
       0.592      382.500       19.965       26.695
       0.595        0.000       20.223       26.695
       0.597        0.000       20.223       26.695
       0.600      413.800       20.223       26.695
       0.602        0.000       20.223       26.695
       0.605      410.000       20.223       26.695
       0.607        0.000       20.223       26.695
       0.610        0.000       20.480       26.695
       0.612        0.000       20.480       26.695
       0.615        0.000       20.480       26.836
       0.617        0.000       20.480       26.836
       0.619        0.000       20.480       26.836
       0.622        0.000       20.480       26.836
       0.624      410.500       20.480       26.836
       0.627        0.000       20.480       26.836
       0.629        0.000       20.480       26.836
       0.631        0.000       20.480       26.836
       0.634        0.000       20.793       26.836
       0.637        0.000       20.793       26.836
       0.639        0.000       20.793       26.836
       0.641        0.000       21.051       27.836
       0.644      412.500       21.281       27.984
       0.646        0.000       21.340       28.059
       0.649      391.700       21.340       28.059
       0.651        0.000       21.340       28.059
       0.654        0.000       21.340       28.059
       0.656        0.000       21.340       28.059
       0.659        0.000       21.340       28.059
       0.661        0.000       21.340       28.059
       0.663        0.000       21.340       28.059
       0.666        0.000       21.340       28.059
       0.668        0.000       21.340       28.059
       0.671        0.000       21.340       28.059
       0.673        0.000       21.340       28.195
       0.676        0.000       21.340       28.195
       0.678        0.000       21.340       28.195
       0.681        0.000       21.340       28.195
       0.683        0.000       21.340       28.195
       0.686        0.000       21.340       28.195
       0.688        0.000       21.340       28.195
       0.691        0.000       21.648       35.000
       0.693        0.000       21.664       35.000
       0.695        0.000       21.719       67.496
       0.698        0.000       21.719       67.496
       0.700        0.000       21.906       72.152
       0.703        0.000       21.930       74.391
       0.705      407.600       22.027       74.391
       0.708        0.000       22.027       74.391
